PWY0-1465	1.1.1.83	D-malate dehydrogenase (decarboxylating)
PWY66-301	1.14.16.2	tyrosine 3-monooxygenase
PWY-5394	1.14.16.2	tyrosine 3-monooxygenase
PWY-5049	1.14.16.2	tyrosine 3-monooxygenase
PWY-6148	2.5.1.105	dihydropteroate synthase
PWY-7140	2.4.1.91	myricetin 3-<i>O</i>-glucosyltransferase
PWY-7270	1.13.11.54	1,2-dihydroxy-5-(methylthio)pent-1-en-3-one:oxygen oxidoreductase (formate-forming)
PWY-6755	1.13.11.54	1,2-dihydroxy-5-(methylthio)pent-1-en-3-one:oxygen oxidoreductase (formate-forming)
PWY-6143	2.7.7.81	pseudaminic acid cytidylyltransferase
PWY-6143	2.5.1.97	pseudaminic acid synthetase
PWY-6143	3.6.1.57	UDP-2,4-diacetamido-2,4,6-trideoxy-&beta;-L-altropyranosyl transferase
PWY-6143	2.3.1.202	UDP-4-amino-4,6-dideoxy-&beta;-L-AltNAc <i>o</i>-acetyltransferase
PWY-5751	1.14.13.124	L-phenylalanine <i>N</i>-monooxygenase
PWY-6765	1.12.1.3	hydrogenase
PWY-6512	1.12.1.3	hydrogenase
PWY-7205	2.7.4.6	CDP kinase
PWY-5083	1.6.1.2	pyridine nucleotide transhydrogenase
PWY-5741	6.2.1.9	malate thiokinase
PWY-1622	6.2.1.9	malate thiokinase
PWY-6964	1.4.7.1	glutamate synthase (ferredoxin)
PWY-6549	1.4.7.1	glutamate synthase (ferredoxin)
PWY-4341	1.4.7.1	glutamate synthase (ferredoxin)
PWY-6028	2.3.1.190	acetoin dehydrogenase
PWY-5987	1.14.19.-	palmitoleic acid delta 12 desaturase
PWYG-321	2.3.1.-	arabinogalactan:trehalose-trans-keto-mycolate mycolyltransferase
PWY-6443	2.3.1.196	benzoyltransferase
PWY-6801	2.3.1.196	benzoyltransferase
PWY-6763	2.3.1.196	benzoyltransferase
PWY-4203	2.3.1.196	benzoyltransferase
PWY-4203	2.1.1.273	S-adenosyl-L-methionine:benzoic acid carboxymethyltransferase
PWY-4203	2.1.1.274	S-adenosyl-L-methionine:salicylic acid carboxymethyltransferase
PWY-6681	1.2.1.82	apo-4'-lycopenal dehydrogenase
PWY-6679	1.1.1.-	NDP-2,6-dideoxy-L-<i>erythro</i>-4-hexulose 4-ketoreductase
PWY-6679	1.1.1.-	NDP-4-dehydro-2,6-dideoxy-&alpha;-D-glucose 3-ketoreductase
PWY-6679	5.3.1.-	NDP-2,6-dideoxy-4-hexulose 5-epimerase
PWY-6679	4.2.1.-	NDP-&alpha;-D-glucose 4,6-dehydratase
PWY-6679	1.17.1.-	NDP-4-dehydro-6-deoxy-&alpha;-D-glucose 2,3-dehydratase
PWY-7000	1.1.1.329	2-deoxy-<i>scyllo</i>-inosamine dehydrogenase
PWY-7014	1.1.1.329	2-deoxy-<i>scyllo</i>-inosamine dehydrogenase
PWY-7000	2.6.1.101	L-glutamine:5-amino-2,3,4-trihydroxycyclohexanone aminotransferase
PWY-7022	2.6.1.101	L-glutamine:5-amino-2,3,4-trihydroxycyclohexanone aminotransferase
PWY-7014	2.6.1.101	L-glutamine:5-amino-2,3,4-trihydroxycyclohexanone aminotransferase
PWYG-321	2.3.1.-	arabinogalactan: trehalose-cis-methoxy-mycolate mycolyltransferase
PWY-822	2.4.1.99	1-sucrose:sucrose fructosyltransferase
PWY-7400	4.3.2.1	argininosuccinate lyase
PWY-5154	4.3.2.1	argininosuccinate lyase
ARGSYNBSUB-PWY	4.3.2.1	argininosuccinate lyase
ARGSYN-PWY	4.3.2.1	argininosuccinate lyase
PWY-4984	4.3.2.1	argininosuccinate lyase
PWY-4983	4.3.2.1	argininosuccinate lyase
PWY-6999	1.14.13.178	1-methylxanthine demethylase
PWY-7000	4.2.3.124	2-deoxy-<i>scyllo</i>-inosose synthase
PWY-7022	4.2.3.124	2-deoxy-<i>scyllo</i>-inosose synthase
PWY-7014	4.2.3.124	2-deoxy-<i>scyllo</i>-inosose synthase
PWY-7000	2.6.1.100	L-glutamine:2-deoxy-<i>scyllo</i>-inosose aminotransferase
PWY-7022	2.6.1.100	L-glutamine:2-deoxy-<i>scyllo</i>-inosose aminotransferase
PWY-7014	2.6.1.100	L-glutamine:2-deoxy-<i>scyllo</i>-inosose aminotransferase
PWY-5978	1.1.1.-	UDP-3-dehydro-&alpha;-D-glucose dehydrogenase
PWY-5978	2.6.1.-	UDP-3-keto-D-glucose transaminase
DTDPRHAMSYN-PWY	1.1.1.133	dTDP-4-dehydrorhamnose reductase
PWY0-1261	2.7.1.170	anhydro-<i>N</i>-acetylmuramic acid kinase
PWY-7235	2.1.1.114	S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxybenzoate O-methyltransferase
PWY-7233	2.1.1.114	S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxybenzoate O-methyltransferase
PWY3O-19	2.1.1.114	S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxybenzoate O-methyltransferase
PWY-5497	3.5.4.8	4-aminoimidazole deaminase
P164-PWY	3.5.4.8	4-aminoimidazole deaminase
PWY-6944	1.14.13.142	3-ketosteroid 9&alpha;-hydroxylase
PWY-5940	3.1.3.39	streptomycin-6-phosphatase
ENTNER-DOUDOROFF-PWY	4.1.2.55	2-keto-3-deoxygluconate 6-phosphate aldolase
PWY-7310	4.1.2.55	2-keto-3-deoxygluconate 6-phosphate aldolase
PWY-2221	4.1.2.55	2-keto-3-deoxygluconate 6-phosphate aldolase
PWY-6507	4.1.2.55	2-keto-3-deoxygluconate 6-phosphate aldolase
PWY-7242	4.1.2.55	2-keto-3-deoxygluconate 6-phosphate aldolase
PWY-5154	2.6.1.11	acetylornithine transaminase
ARGSYNBSUB-PWY	2.6.1.11	acetylornithine transaminase
GLUTORN-PWY	2.6.1.11	acetylornithine transaminase
PWY-5905	1.14.99.29	deoxyhypusine hydroxylase
PWY-6660	2.3.1.230	2-heptyl-4(1<i>H</i>)-quinolone synthase
PWY-6660	1.14.13.182	2-heptyl-3-hydroxy-4(1<i>H</i>)-quinolone synthase
1CMET2-PWY	6.3.2.12	dihydrofolate synthetase
PWY-6614	6.3.2.12	dihydrofolate synthetase
DAPLYSINESYN-PWY	2.3.1.117	tetrahydrodipicolinate succinylase
PWY-7130	2.7.1.178	2-dehydro-3-deoxygalactonate kinase
GALACTCAT-PWY	2.7.1.178	2-dehydro-3-deoxygalactonate kinase
PWY-7095	2.4.1.178	UDPG: 3,4-dihydroxymandelonitrile glucosyltransferase
PWY-6080	1.1.1.-	S-1-(4-hydroxyphenyl)-ethanol dehydrogenase
P163-PWY	4.3.1.14	3-aminobutyryl-CoA deaminase
PWY-5287	1.21.3.3	berberine bridge enzyme
PWY-6337	1.21.3.3	berberine bridge enzyme
PWY-3901	1.21.3.3	berberine bridge enzyme
PWY-7090	2.6.1.98	UDP-2-acetamido-2-deoxy-<i>ribo</i>-hexuluronate aminotransferase
PWY-5162	4.2.1.80	2-oxopent-4-enoate hydratase
PWY-7085	1.14.13.-	triethylamine monooxygenase
PWY-7085	1.14.13.-	diethylamine monooxygenase
PWY-7085	1.14.13.-	ethylamine monooxygenase
TRPSYN-PWY	4.1.3.27	anthranilate synthase
PWY-6661	4.1.3.27	anthranilate synthase
PWY-6660	4.1.3.27	anthranilate synthase
PWY-5958	4.1.3.27	anthranilate synthase
PWY-5194	4.99.1.4	siroheme ferro-lyase
PWY-7087	2.1.1.255	geranyl diphosphate 2-<i>C</i>-methyltransferase
PWY-7456	2.4.1.281	4-<i>O</i>-&beta;-D-mannosyl-D-glucose phosphorylase
PWY-7087	4.2.3.118	2-methylisoborneol synthase
PWY-7053	6.2.1.3	acyl-CoA synthetase
PWY-6951	6.2.1.3	acyl-CoA synthetase
PWY-5656	3.1.3.70	mannosyl-3-phosphoglycerate phosphatase
PWY0-1264	6.3.4.15	biotin-[acetyl-CoA-carboxylase] ligase
PWY-6281	6.1.1.11	L-serine:tRNASec ligase (AMP-forming)
PWY0-901	6.1.1.11	L-serine:tRNASec ligase (AMP-forming)
PWY-5710	2.6.1.-	vanillin aminotransferase
PWY-6019	4.2.1.70	pseudouridine-5'-phosphate glycosidase
PWY-6473	2.6.1.96	gamma aminobutyrate transaminase
PWY-4321	2.6.1.96	gamma aminobutyrate transaminase
PWY-4321	1.2.1.-	&gamma;-hydroxybutyrate dehydrogenase
PWY-7292	5.3.3.-	&Delta;<SUP>3</SUP>-cis-&Delta;<SUP>2</SUP>-trans-enoyl-CoA isomerase
PWY0-1337	5.3.3.-	&Delta;<SUP>3</SUP>-cis-&Delta;<SUP>2</SUP>-trans-enoyl-CoA isomerase
PWY-7292	3.1.2.-	acyl-CoA thioesterase
PWY0-1337	3.1.2.-	acyl-CoA thioesterase
PWY-6857	3.1.1.3	TriacylGlycerol Lipase
PWY-5701	2.5.1.93	4-hydroxybenzoate geranyltransferase
PWY0-1415	4.99.1.1	ferrochelatase
HEMESYN2-PWY	4.99.1.1	ferrochelatase
HEME-BIOSYNTHESIS-II	4.99.1.1	ferrochelatase
PWY-6857	3.1.1.1	all-trans-retinyl-ester hydrolase
PWY-6352	3.1.3.-	PI(3,5)P<sub>2</sub>5'phosphatase
PWY-6048	6.2.1.-	3-methylmercaptopropionyl-CoA ligase
PWY-6863	1.1.1.35	3-hydroxyhexanoyl-CoA dehydrogenase
PWY-6048	3.1.2.-	methylthioacryloyl-CoA hydrolase
PWY-6048	1.3.8.-	3-methylmercaptopropionyl-CoA dehydrogenase
PWY-7044	3.1.1.91	2-oxo-3-(5-oxofuran-2-ylidene)propanoate lactonase
PWY-7045	2.4.1.-	premithracinone:dTDP-D-olivose D-olivosyltransferase
PWY-7045	2.4.1.-	premithramycin A1:dTDP-D-oliose D-oliosyltransferase
PWY-7045	2.4.1.-	premithramycin A2:dTDP-D-mycarose D-mycarosyltransferase
PWY-7045	2.1.1.-	premithramycin A3 methyltransferase
ANAGLYCOLYSIS-PWY	2.7.1.2	glucokinase
PWY-5514	2.7.1.2	glucokinase
PWY-7385	2.7.1.2	glucokinase
PWY-2723	2.7.1.2	glucokinase
GLUCOSE1PMETAB-PWY	2.7.1.2	glucokinase
PWY-7238	2.7.1.2	glucokinase
PWY0-1182	2.7.1.2	glucokinase
P124-PWY	2.7.1.2	glucokinase
GLYCOCAT-PWY	2.7.1.2	glucokinase
PWY-5661	2.7.1.2	glucokinase
P122-PWY	2.7.1.2	glucokinase
PWY-6068	2.4.1.220	indoxyl-UDPG glucosyltransferase
PWY-2221	4.2.1.140	gluconate dehydratase
NPGLUCAT-PWY	4.2.1.140	gluconate dehydratase
PWY-6941	1.2.1.39	phenylacetaldehyde dehydrogenase
PWY-6534	1.2.1.39	phenylacetaldehyde dehydrogenase
PWY-6318	1.2.1.39	phenylacetaldehyde dehydrogenase
2PHENDEG-PWY	1.2.1.39	phenylacetaldehyde dehydrogenase
ANAPHENOXI-PWY	1.2.1.39	phenylacetaldehyde dehydrogenase
PWY0-1471	1.14.99.46	uracil oxygenase
PWY-7380	2.6.1.105	lysine-8-amino-7-oxononanoate aminotransferase
PWY-5737	6.3.3.6	carbapenam synthetase
PWY-5737	1.14.20.3	(5R)-carbapenem synthase
PWY-5392	1.3.5.4	fumarate reductase
P42-PWY	1.3.5.4	fumarate reductase
P23-PWY	1.3.5.4	fumarate reductase
FERMENTATION-PWY	1.3.5.4	fumarate reductase
PWY0-1336	1.3.5.4	fumarate reductase
REDCITCYC	1.3.5.4	fumarate reductase
ANARESP1-PWY	1.3.5.4	fumarate reductase
P108-PWY	1.3.5.4	fumarate reductase
PWY-5737	2.3.1.226	carboxymethylproline synthase
PWY-1501	4.1.1.7	benzoylformate carboxy-lyase
PWY-1901	1.21.3.6	pentahydroxychalcone 4'-<i>O</i>-glucoside:oxygen oxidoreductase
PWY-5747	4.2.1.99	(2<i>R</i>,3<i>S</i>)-2-methylisocitrate hydro-lyase
PWY0-42	4.2.1.99	(2<i>R</i>,3<i>S</i>)-2-methylisocitrate hydro-lyase
PWY-7303	1.3.1.12	prephenate dehydrogenase
TYRSYN	1.3.1.12	prephenate dehydrogenase
PWY-7464	2.4.1.-	cyanidin 7-<i>O</i>-(6-<i>O</i>-(p-hydroxybenzoyl)-glucoside) glucosyltransferase (acyl-glucose dependent)
PWY-5856	2.1.1.64	3-demethylubiquinone-9 3-<i>O</i>-methyltransferase
PWY-5871	2.1.1.64	3-demethylubiquinone-9 3-<i>O</i>-methyltransferase
PWY-5499	4.1.1.51	2-methyl-3-hydroxypyridine-4,5-dicarboxylate 4-decarboxylase
PWY-7246	3.2.1.82	exo-poly-&alpha;-D-galacturonosidase
PWY-1901	2.4.1.286	2'4'6'34-pentahydroxychalcone 4'-<i>O</i>-glucosyltransferase
PWY-5055	1.3.7.1	6-hydroxynicotinate reductase
DAPLYSINESYN-PWY	2.6.1.17	<i>N</i>-succinyldiaminopimelate aminotransferase
PWY-1901	2.4.1.286	naringenin chalcone 4'-<i>O</i>-glucosyltransferase
TRESYN-PWY	2.4.1.15	trehalose-6-phosphate synthase
PWY-7498	2.1.1.267	myricetin 3'-<i>O</i>-methyltransferase
PWY-7160	2.1.1.267	myricetin 3'-<i>O</i>-methyltransferase
PWY-5391	2.1.1.267	myricetin 3'-<i>O</i>-methyltransferase
PWY1A0-6325	4.2.1.-	S-[acp] 6-(3'-hydroxy-2'-(3''-oxobutanoyl)phenyl)-3,5-dioxohexanethioate cyclase
PWY-6969	2.3.3.9	malate synthase A
P105-PWY	2.3.3.9	malate synthase A
PWY-7295	2.3.3.9	malate synthase A
PWY-7294	2.3.3.9	malate synthase A
PWY-7118	2.3.3.9	malate synthase A
GLYOXYLATE-BYPASS	2.3.3.9	malate synthase A
PWY-6728	2.3.3.9	malate synthase A
GLYOXDEG-PWY	2.3.3.9	malate synthase A
PWY-699	1.14.13.-	brassinolide synthase
PWY-5087	4.1.3.22	citramalate lyase
PWY-7478	1.14.13.191	cytochrome P450 dependent <i>ent</i>-sandaracopimaradiene 3-hydroxylase
PWYG-321	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase
TRPSYN-PWY	4.2.1.122	tryptophan synthase
PWYG-321	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase
PWY-6398	1.14.14.1	melatonin <i>O</i>-demethylase
PWY-6398	1.14.14.1	melatonin 6-hydroxylase
PWY-1361	4.1.2.44	benzoyl-CoA-dihydrodiol lyase
PWY-1361	1.2.1.77	3,4-dehydroadipyl-CoA semialdehyde dehydrogenase
PWY-5393	2.3.1.212	4-hydroxybenzalacetone synthase
PWY-5706	4.4.1.4	alliin lyase
PWY-2841	1.5.99.-	isopentenyladenine:FAD oxidoreductase
PWY-7102	4.2.3.59	&gamma;-bisabolene synthase
PWY-5393	1.3.1.-	benzalacetone reductase
PWY-5022	4.2.1.120	4-hydroxybutyryl-CoA dehydratase
PWY-5789	4.2.1.120	4-hydroxybutyryl-CoA dehydratase
PWY-5677	4.2.1.120	4-hydroxybutyryl-CoA dehydratase
PWY-5789	1.2.1.76	succinyl-CoA reductase
PWY-5677	1.2.1.76	succinyl-CoA reductase
PWY-782	1.14.19.-	1-18:2-2-18:3-monogalactosyldiacylglycerol desaturase
PWY-7214	1.11.1.7	baicalein peroxidase 3
PWY-3385	4.1.1.-	serine decarboxylase
PWY-762	1.14.19.-	1-16:0-2-18:1-phosphatidylcholine desaturase
PWY-7413	5.1.3.27	dTDP-4-dehydro-6-deoxy-D-glucose 3-epimerase
PWY-782	1.14.19.-	1-18:2-2-16:0-digalactosyldiacylglycerol desaturase
PWY-6421	2.8.4.2	mycothiol-arsenate ligase
PWY-782	1.14.19.-	1-18:2-2-18:2-monogalactosyldiacylglycerol desaturase
PWY-782	1.14.19.-	1-18:2-2-18:2-monogalactosyldiacylglycerol desaturase
PWY-361	1.2.1.44	cinnamoyl-CoA reductase
PWY-6027	1.2.1.44	cinnamoyl-CoA reductase
PWY-7394	1.14.13.113	FAD-dependent urate hydroxylase
PWY-361	1.1.1.195	coumaryl alcohol dehydrogenase
PWY-361	1.2.1.44	coumaroyl coenzyme A reductase
PWY-3061	1.14.13.104	(+)-menthofuran synthase
PWY-7363	2.1.1.121	6-O-methylnorlaudanosoline 4'-O-methyltransferase
PWY-6271	4.2.3.85	&alpha;-eudesmol synthase
PWY-6271	4.2.3.68	&beta;-eudesmol synthase
PWY-6271	4.2.3.84	10-<i>epi</i>-&gamma;-eudesmol synthase
PWY-6061	1.14.13.95	7&alpha;-hydroxycholest-4-en-3-one 12&alpha;-hydroxylase
PWY-6659	4.2.3.43	fusicocca-2,10(14)-diene synthase
PWY-7384	2.8.3.-	propionyl-CoA:succinate CoA transferase
P108-PWY	2.8.3.-	propionyl-CoA:succinate CoA transferase
PWY0-43	2.8.3.-	propionyl-CoA:succinate CoA transferase
PWY-6429	1.14.13.26	oleate 12-hydroxylase
PWY-7501	2.7.8.-	phosphatidylcholine - serine O-phosphatidyltransferase
PWY-5964	2.7.7.77	molybdenum cofactor guanylyltransferase
CHLOROPHYLL-SYN	1.3.1.33	protochlorophyllide oxidoreductase
CO2FORM-PWY	2.1.1.246	MtaC protein: coenzyme M methyltransferase
PWY-7377	1.3.1.106	cobalt-precorrin-6A reductase
PWY-7377	2.1.1.196	cobalt-precorrin-6B (<i>C</i><sup>15</sup>)-methyltransferase [decarboxylating]
PWY-6970	1.2.1.51	pyruvate dehydrogenase (NADP<sup>+</sup>)
PWY-7440	1.1.1.-	dTDP-&beta;-L-4-epi-vancosamine 4-reductase
PWY-7440	5.1.3.-	dTDP-2,3,6-trideoxy-3-<i>C</i>-methyl-3-amino-4-dehydro-&alpha;-D-glucose 5-epimerase
PWY-7440	2.1.1.-	dTDP-3-amino-4-dehydro-2,3,6-trideoxy-&alpha;-D-glucose C3-methyltransferase
PWY-7377	5.4.99.60	cobalt-precorrin-8 methylmutase
PWY-7377	6.3.5.11	cobyrinate a,c-diamide synthase
PWY-5247	2.1.1.248	monomethylamine methyltransferase
PWY-5247	2.1.1.247	methylated MtmC protein:CoM methyltransferase
PWY-7340	4.2.1.119	<i>trans</i>--2-enoyl-CoA hydratase 2
PWY-7340	1.3.3.6	fatty acyl-CoA oxidase
PWY-7339	4.2.1.119	<i>trans</i>--2-enoyl-CoA hydratase 2
PWY-7339	2.3.1.16	3-ketoacyl-CoA thiolase
PWY-7213	2.4.1.253	wogonin 7-<i>O</i>-glucuronosyltransferase
PWY-6550	3.7.1.13	2-hydroxy-6-oxo-6-(2'-aminophenyl)-hexa-2,4dienoate hydrolase
PWY-7213	3.2.1.167	wogonin-&beta;-D-glucuronidase
PWY-5280	1.13.12.2	L-lysine monooxygenase
PWY-6602	1.14.13.-	naringenin 2-hydroxylase
PWY-7340	2.3.1.16	3-ketoacyl-CoA thiolase
PWY-7340	1.1.1.-	3-hydroxyacyl-CoA dehydrogenase
PWY-6219	6.3.-.-	indole-3-acetyl-glutamine synthetase
ECASYN-PWY	2.4.1.180	UDP-N-acetyl-D-mannosaminuronic acid transferase
PWY-6738	2.1.1.129	myo-inositol 4-O-methyltransferase
PWY-6388	1.1.1.76	(<em>S</em>,<em>S</em>)-butanediol dehydrogenase
PWY-6390	1.1.1.76	(<em>S</em>,<em>S</em>)-butanediol dehydrogenase
PWY-5290	4.1.1.28	tryptophan decarboxylase
PWY-6326	4.1.1.28	tryptophan decarboxylase
PWY-581	4.1.1.28	tryptophan decarboxylase
PWY-6307	4.1.1.28	tryptophan decarboxylase
PWY-5877	4.1.1.28	tryptophan decarboxylase
PWY-5473	4.1.1.28	tryptophan decarboxylase
PWY-3181	4.1.1.28	tryptophan decarboxylase
PWY-5306	1.8.99.1	dissimilatory sulfite reductase
PWY-5360	1.8.99.1	dissimilatory sulfite reductase
PWY-6374	2.7.7.58	2,3-dihydroxybenzoate-AMP ligase
DETOX1-PWY	1.11.1.21	catalase
PWY-5506	1.11.1.21	catalase
PWY-7342	2.4.2.19	quinolinate phosphoribosyltransferase (decarboxylating)
PWY-5316	2.4.2.19	quinolinate phosphoribosyltransferase (decarboxylating)
PWY-5653	2.4.2.19	quinolinate phosphoribosyltransferase (decarboxylating)
PYRIDNUCSYN-PWY	2.4.2.19	quinolinate phosphoribosyltransferase (decarboxylating)
PWY-6562	4.1.1.96	carboxynorspermidine decarboxylase
PWY-1081	3.1.1.11	pectinesterase
PWY-1081	3.2.1.15	endopolygalacturonase
PWY-7275	4.2.1.-	benzylmalate isomerase
PWY-7275	2.3.3.-	2-benzylmalate synthase
NONMEVIPP-PWY	1.17.1.2	dimethylallyl-diphosphate:NAD(P)+ oxidoreductase
PWYG-321	4.2.1.59	3-cis,cis-delta13,31-3-hydroxyC50:2-[acyl-carrier protein] dehydratase
PWYG-321	4.2.1.59	cis-delta19-3-hydroxyC38:1-[acyl-carrier protein] dehydratase
PWY0-321	5.3.3.18	1,2-epoxyphenylacetyl-CoA isomerase
PWY-181	2.7.1.31	glycerate kinase
GLYCOLATEMET-PWY	2.7.1.31	glycerate kinase
PWY-6061	6.2.1.7	very long-chain acyl-CoA synthetase
PWY0-321	4.2.1.17	2,3-dehydroadipyl-CoA hydratase
PWY-5320	2.4.1.-	kaempferol 3-glucoside 7-<i>O</i>-rhamnosyltransferase
GALDEG-PWY	3.1.1.25	D-galactono-&gamma;-lactonase
PWY-6906	2.7.1.8	glucosamine kinase
PWY-5462	1.2.1.49	2-oxoaldehyde dehydrogenase
PWY-7247	3.2.1.31	&beta;-D-glucuronidase
PWY66-389	1.3.1.38	2-enoyl thioester reductase
FUCCAT-PWY	5.3.1.25	L-fucose isomerase
PWY-7138	1.14.21.5	(S)-canadine synthase
PWY-3901	1.14.21.5	(S)-canadine synthase
PWY-6010	2.3.1.115	isoflavone-7-O-&beta;-glucoside 6''-O-malonyltransferase
PWY-7210	2.7.4.12	dTMP kinase
PWY-7197	2.7.4.12	dTMP kinase
PWY-7198	2.7.4.12	dTMP kinase
PWY-7184	2.7.4.12	dTMP kinase
PWY-6545	2.7.4.12	dTMP kinase
PWY0-166	2.7.4.12	dTMP kinase
PWY-7187	2.7.4.12	dTMP kinase
PWY-7352	2.1.1.292	13-deoxycarminomycin 4-O-methyltransferase
PWY-6614	2.5.1.15	dihydropteroate synthase
PWY-2981	5.5.1.13	<i>ent</i>-copalyl diphosphate synthase
PWY-6887	5.5.1.13	<i>ent</i>-copalyl diphosphate synthase
PWY-5032	5.5.1.13	<i>ent</i>-copalyl diphosphate synthase
PWY-5660	1.14.99.37	taxadiene 5&alpha;-hydroxylase
PWY-7466	1.14.14.1	acetone monooxygenase
PWY-5451	1.14.14.1	acetone monooxygenase
PWY-6128	4.2.3.67	cis-muurola-4(14),5-diene synthase
PWY-6128	4.2.3.67	cis-muurola-3,5-diene synthase
PWY-6129	2.5.1.87	dehydrodolichyl diphosphate synthase
PWY-7181	3.5.4.5	deoxycytidine deaminase
PWY-7199	3.5.4.5	deoxycytidine deaminase
PWY-7009	1.14.13.-	2,2',3-trihydroxybiphenyl monooxygenase
PWY66-378	1.14.99.9	pregnenolone 17-&alpha;-hydroxylase
PWY-7000	1.1.3.43	paromamine 6'-oxidase
PWY-7015	1.1.3.43	paromamine 6'-oxidase
PWY-7000	1.1.3.-	2'-deamino-2'-hydroxyparomamine 6'-oxidase
PWY-5670	2.5.1.21	squalene synthase
PWY66-378	1.1.1.145	dehydroepiandrosterone dehydrogenase
PWY-5975	1.3.1.-	2-butyl-4-hydroxy-5-methyl-3(2H)-furanoneoxidoreductase
PWY-5975	1.3.1.-	homofuraneol oxidoreductase
PWY-5975	1.3.1.-	4-hydroxy-5-methyl-2-propyl-3(2H)-furanone oxidoreductase
PWY-5301	3.2.1.125	raucaffricine glucosidase
PWY-5975	1.3.1.105	furaneol oxidoreductase
TRNA-CHARGING-PWY	6.1.1.16	cysteinyl-tRNA synthetase
PWY-5388	2.4.1.196	UDPG:nicotinate N-glucosyltransferase
PWY-5497	3.5.4.3	guanine deaminase
P164-PWY	3.5.4.3	guanine deaminase
PWY-6608	3.5.4.3	guanine deaminase
PWY-6606	3.5.4.3	guanine deaminase
PWY1A0-6325	2.3.1.-	3,5,7,9,11,13,15-hepta-oxo-hexadecanoyl-[PKS-acp] synthase
PWY-5703	3.5.1.54	allophanate hydrolase
PWY-5169	3.5.1.54	allophanate hydrolase
PWY-6749	2.3.1.-	GDP-glucosamine <i>N</i>-acetyltransferase
PWY-6749	4.2.1.-	NAD-dependent GDP-<i>N</i>-acetylglucosamine 4.6-dehydratase
PWY-6572	4.2.2.19	chondroitin B lyase
PWY-5155	4.1.1.11	aspartate 1-decarboxylase
M-CRESOL-DEGRADATION-PWY	1.14.13.-	3,5-xylenol methylhydroxylase
PWY-6749	3.2.1.-	GDP-2,4-diacetamido-2,4,6-trideoxy-&alpha;-D-glucopyranose hydrolase/2-epimerase
PWY-7205	2.7.4.14	CMP kinase
PWY-6855	3.5.1.-	<i>N,N'</i>-diacetylchitobiose deacetylase
PWY66-387	6.2.1.3	2-methyl branched fatty acid-CoA ligase
PWY-5038	2.1.1.160	paraxanthine:S-adenosyl-L-methionine 3-N-methyltransferase
PWY-6596	3.1.3.5	inosine-5'-phosphate phosphohydrolase
PWY-6608	3.1.3.5	guanosine-5'-phosphate phosphohydrolase
PWY-6607	3.1.3.5	guanosine-5'-phosphate phosphohydrolase
PWY-6606	3.1.3.5	guanosine-5'-phosphate phosphohydrolase
PWY-6121	6.3.5.3	phosphoribosylformylglycinamide synthetase
PWY-6277	6.3.5.3	phosphoribosylformylglycinamide synthetase
PWY-6122	6.3.5.3	phosphoribosylformylglycinamide synthetase
PWY-7134	3.2.1.-	isoquercitrin-3-<i>O</i>-glucosidase (f3gII)
PWY-7398	1.14.11.-	4-coumaroyl 2'-hydroxylase
PWY-6982	1.14.11.-	4-coumaroyl 2'-hydroxylase
PWY-5290	1.1.1.324	8-hydroxygeraniol dehydrogenase
PWY-5491	3.1.3.-	diethylphosphate phosphodiesterase
PWY-7294	4.2.1.82	D-xylonate dehydratase
PWY-7178	4.2.1.82	D-xylonate dehydratase
PWY-6760	4.2.1.82	D-xylonate dehydratase
PWYG-321	4.2.1.59	cis-delta7-3-hydroxyC26:1-[acyl-carrier protein] dehydratase
PWYG-321	2.3.1.179	cis,cis-delta13,25-C44:2-[acyl-carrier protein]:malonyl-[acyl-carrier protein] malonyltransferase
PWYG-321	4.2.1.59	3-cis,cis-delta7,25-3-hydroxyC44:2-[acyl-carrier protein] dehydratase
PWY-7170	1.3.7.4	phytochromobilin:ferredoxin oxidoreductase
PWY-5807	2.5.1.30	heptaprenyl diphosphate synthase
PWY-6863	1.2.1.-	hexanal dehydrogenase
PWY-6863	4.2.1.74	3-hydroxyhexanoyl-CoA dehydratase
PWY-6863	2.3.1.16	3-oxohexanoyl-CoA thiolase
PWY-7036	4.2.1.134	3-hydroxy-cerotoyl-CoA dehydratase
PWY-7036	4.2.1.134	3-hydroxy-lignoceroyl-CoA dehydratase
PWY-7036	1.3.1.93	trans-docosan-2-enoyl-CoA reductase
PWY-7036	1.3.1.93	trans-arachidon-2-enoyl-CoA reductase
PWY-7036	1.1.1.330	3-oxo-cerotoyl-CoA reductase
PWY-6505	1.13.11.6	3-hydroxyanthranilate 3,4-dioxygenase
PWY-6309	1.13.11.6	3-hydroxyanthranilate 3,4-dioxygenase
PWY-5647	1.13.11.6	3-hydroxyanthranilate 3,4-dioxygenase
PWY-5651	1.13.11.6	3-hydroxyanthranilate 3,4-dioxygenase
PWY-7036	4.2.1.134	3-hydroxy-behenoyl-CoA dehydratase
PWY-7036	4.2.1.134	3-hydroxy-arachidoyl-CoA dehydratase
PWY-4202	1.20.4.2	methylarsonate reductase
PWY-7036	1.3.1.93	trans-cerot-2-enoyl-CoA reductase
