	aro	BAL_En	BAL_Es	BAL_Kl	DEN_En	DEN_Es	DEN_Kl	MIN_En	MIN_Es	MIN_Kl	NYC_En	NYC_Es	NYC_Kl	SAC_En	SAC_Es	SAC_Kl	SAN_En	SAN_Es	SAN_Kl
tlrC	3002827	0.0	0.0	0.0	0.0	1.0	7.0	0.0	0.0	0.0	7.0	6.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
qacG	3007015	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
eptA	3003576	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	7.0	3.0	6.0	0.0	0.0	0.0	1.0	2.0	0.0
ArnT	3005053	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	5.0	3.0	7.0	0.0	0.0	0.0	0.0	2.0	0.0
tet(M)	3000186	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycobacterium tuberculosis pncA mutations conferring resistance to pyrazinamide	3003394	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
msbA	3003950	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	1.0	48.0	6.0	23.0	2.0	0.0	0.0	0.0	2.0	0.0
bcr-1	3003801	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	32.0	3.0	15.0	1.0	0.0	0.0	0.0	0.0	0.0
acrD	3000491	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	16.0	5.0	11.0	0.0	0.0	1.0	0.0	0.0	0.0
baeS	3000829	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	32.0	1.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
arnA	3002985	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	22.0	3.0	11.0	0.0	1.0	0.0	0.0	1.0	0.0
MdtK	3001327	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	9.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
kdpE	3003841	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	22.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0
TolC	3000237	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	11.0	3.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
ParS	3005067	0.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0	0.0	7.0	2.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
tetA(60)	3004035	0.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0	0.0	15.0	2.0	13.0	2.0	0.0	0.0	0.0	0.0	0.0
rphB	3003992	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	14.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0
AcrE	3000499	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	10.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
mdtM	3001214	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	3.0	7.0	0.0	0.0	0.0	0.0	1.0	0.0
vanG	3002909	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	9.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
vanT gene in vanC cluster	3002970	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	6.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0
LptD	3005059	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	17.0	0.0	8.0	0.0	0.0	1.0	0.0	1.0	0.0
mtrA	3000816	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	40.0	2.0	22.0	0.0	0.0	0.0	0.0	2.0	0.0
macA	3000533	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	8.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
bacA	3002986	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	10.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
MexT	3000814	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	22.0	0.0	10.0	0.0	0.0	0.0	1.0	0.0	0.0
efrA	3003948	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	16.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
ramA	3000823	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	12.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
carA	3002817	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	1.0
sdiA	3000826	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	10.0	2.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
dfrA3	3003105	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycobacterium tuberculosis kasA mutant conferring resistance to isoniazid	3003463	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
eptB	3005047	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	7.0	3.0	3.0	0.0	0.0	1.0	0.0	2.0	0.0
smeS	3003067	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	7.0	3.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
tsnR	3003060	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	16.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
tetB(P)	3000195	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	12.0	1.0	6.0	0.0	0.0	0.0	1.0	1.0	0.0
TriC	3003681	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	5.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0
MexF	3000804	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Staphylococcus aureus murA with mutation conferring resistance to fosfomycin	3003776	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
hp1181	3003964	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	6.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Klebsiella pneumoniae KpnG	3004588	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	6.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
tetB(46)	3004033	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	5.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
Klebsiella pneumoniae KpnH	3004597	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	14.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Escherichia coli mdfA	3001328	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	20.0	3.0	3.0	1.0	0.0	0.0	0.0	1.0	0.0
Streptomyces venezuelae rox	3007209	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	9.0	2.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
vanR gene in vanG cluster	3002926	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
smeF	3003057	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
Staphylococcus aureus GlpT with mutation conferring resistance to fosfomycin	3003901	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
TriB	3003680	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
otr(C)	3002894	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0
AAC(6')-Isa	3002563	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
lmrB	3002813	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ugd	3003577	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	15.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
H-NS	3000676	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	10.0	1.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0
vanH gene in vanO cluster	3002948	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	7.0	2.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0
Nocardia farcinica rox	3007210	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0
SAT-3	3002898	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
vatH	3002845	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	3003378	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	7.0	1.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0
nalD	3000819	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
tet(35)	3000481	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CRP	3000518	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	10.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0
vanH gene in vanA cluster	3002942	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
sul4	3004361	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	9.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
msrE	3003109	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
vmlR	3004476	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	8.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0
pmrA	3000822	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
emrY	3000254	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	21.0	4.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
Klebsiella pneumoniae acrA	3004041	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
efpA	3003955	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
Erm(30)	3001265	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
basR	3003582	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
vatB	3002841	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	6.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
vgaC	3002831	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vanC	3000368	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
tet(39)	3000566	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
hmrM	3003953	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0
mexP	3003698	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
mef(D)	3005089	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
tet(W/32/O)	3007124	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
MexL	3003710	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Escherichia coli soxR with mutation conferring antibiotic resistance	3003381	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
tet(D)	3000168	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A	3003361	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MexH	3000807	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAC(6')-Iy	3002569	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cmlA9	3005043	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fosA5	3003209	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
MuxC	3004075	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
adeS	3000549	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
tet(T)	3000193	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mepR	3000746	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
vanR gene in vanE cluster	3002924	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
tet(56)	3004603	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cmx	3002703	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	3004446	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
mecD	3004185	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycobacterium tuberculosis ndh with mutation conferring resistance to isoniazid	3003461	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus faecium cls conferring resistance to daptomycin	3003092	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycobacterium tuberculosis thyA with mutation conferring resistance to para-aminosalicylic acid	3004153	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Morganella morganii gyrB conferring resistance to fluoroquinolones	3003306	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Escherichia coli EF-Tu mutants conferring resistance to kirromycin	3003368	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neisseria gonorrhoeae PBP2 conferring resistance to beta-lactam antibiotics	3004832	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Helicobacter pylori frxA mutation conferring resistance to metronidazole	3007059	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Helicobacter pylori rdxA mutation conferring resistance to metronidazole	3007055	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Mycobacterium tuberculosis gidB mutation conferring resistance to streptomycin	3003470	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
tet(41)	3000569	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
QepA4	3004379	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
lin	3004651	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycobacterium tuberculosis inhA mutations conferring resistance to isoniazid	3003393	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
FosA6	3004111	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridioides difficile gyrA conferring resistance to fluoroquinolones	3003995	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
vanP	3007189	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
vanS gene in vanM cluster	3002939	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
adeG	3000778	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance	3003373	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Streptomyces lividans otr(A)	3007127	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
tet(43)	3000573	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ceoA	3003009	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Streptomyces rimosus otr(A)	3002891	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	12.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
Helicobacter pylori pbp2 mutants conferring resistance to amoxicillin	3007058	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
RanB	3005090	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0
tetA(46)	3004032	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
salD	3007028	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
tet(32)	3000196	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
LpsB	3005051	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
clbB	3002815	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
vanR gene in vanN cluster	3002929	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
vanR gene in vanL cluster	3002927	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
AAC(3)-Ib	3002530	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ykkD	3003064	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
efrB	3003949	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
tet(X4)	3004720	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
vatC	3002842	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
abeM	3000753	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
vanE	3002907	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
lsaA	3000300	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fexA	3002704	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Brucella suis mprF	3003772	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PmpM	3004077	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Klebsiella pneumoniae KpnF	3004583	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0	1.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0
oleB	3003036	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
tva(A)	3004730	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vanL	3002910	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
srmB	3002828	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
ALG11-1	3006892	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klebsiella pneumoniae KpnE	3004580	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
msrH	3005088	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
rsmA	3005069	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
MexC	3000800	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RlmA(II)	3001301	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
vatF	3003744	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Chlamydia trachomatis intrinsic murA conferring resistance to fosfomycin	3003785	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0
mdsB	3000790	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bmr	3003007	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
cmeB	3000784	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	9.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
adeJ	3000781	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lsaE	3003206	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
cmeC	3000785	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amrB	3002983	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SatA	3005045	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
