	aro	BAL_En	DEN_En	DEN_Es	DEN_Kl	MIN_En	NYC_En	NYC_Es	NYC_Kl	SAC_En	SAN_En
MCR-8.3	3007227	0	0	0	0	0	1	0	0	0	0
tet(39)	3000566	0	0	0	0	0	1	0	1	0	0
gadW	3003838	0	0	0	0	0	1	1	1	0	0
tet(30)	3000561	0	0	0	0	0	1	0	0	0	0
dfrA12	3002858	0	0	0	0	0	1	0	0	0	0
tet(X3)	3004719	0	0	0	0	0	1	0	0	0	0
mefJ	3007049	0	0	0	0	0	1	0	0	0	0
ALG11-1	3006892	0	0	0	0	0	1	0	1	0	0
vanO	3002913	0	0	0	0	0	1	0	0	0	0
OpmD	3000809	0	0	0	0	0	1	0	0	0	0
tet(32)	3000196	0	0	0	0	0	1	0	0	0	0
ceoA	3003009	0	0	0	0	0	1	0	1	0	0
efpA	3003955	0	0	0	0	0	1	0	1	0	0
RUB-1	3006984	0	0	0	0	0	1	0	0	0	0
lsaD	3005121	0	0	0	0	0	1	0	1	0	0
D-Ala-D-Ala ligase	3003970	0	0	0	0	0	1	0	0	0	0
lin	3004651	0	0	0	0	0	1	0	1	0	0
LRA-9	3002488	0	0	0	0	0	1	0	0	0	0
AAC(6')-Ib8	3002579	0	0	0	0	0	1	0	1	0	0
sdrM	3007013	0	0	0	0	0	1	0	0	0	0
GOB-46	3005695	0	0	0	0	0	1	0	0	0	0
mexP	3003698	0	0	0	0	0	1	0	0	0	0
PDC-241	3006619	0	0	0	0	0	1	0	0	0	0
FosM2	3007098	0	0	0	0	0	1	0	0	0	0
Staphylococcus aureus norA	3004667	0	0	0	0	0	1	0	1	0	0
tet(45)	3003196	0	0	0	0	0	1	0	1	0	0
APH(6)-Id	3002660	0	0	0	0	0	1	1	1	0	0
DHA-29	3006470	0	0	0	0	0	1	0	0	0	0
vatD	3002843	0	0	0	0	0	1	0	0	0	0
APH(3'')-Ib	3002639	0	0	0	0	0	0	1	1	0	0
sul1	3000410	0	0	0	0	0	0	1	0	0	0
mtrD	3000811	0	0	0	0	0	0	1	1	0	0
mdeA	3007011	0	0	0	0	0	0	1	0	0	0
cmeA	3000783	0	0	0	0	0	0	1	0	0	0
Staphylococcus aureus rpoC conferring resistance to daptomycin	3003291	0	0	0	0	0	0	1	0	0	0
mdtO	3003549	0	0	0	0	0	0	0	1	0	0
iri	3002884	0	0	0	0	0	0	0	1	0	0
QepA4	3004379	0	0	0	0	0	0	0	1	0	0
SST-1	3006999	0	0	0	0	0	0	0	1	0	0
mexY	3003033	0	0	0	0	0	0	0	1	0	0
lsaE	3003206	0	0	0	0	0	0	0	1	0	0
cfrE	3005023	0	0	0	0	0	0	0	1	0	0
cfrA	3003441	0	0	0	0	0	0	0	1	0	0
Erm(41)	3000603	0	0	0	0	0	0	0	1	0	0
salA	3003749	0	0	0	0	0	0	0	1	0	0
mef(D)	3005089	0	0	0	0	0	0	0	1	0	0
SHV-41	3001099	0	0	0	0	0	0	0	1	0	0
FosA8	3007371	0	0	0	0	0	0	0	1	0	0
msrA	3000251	0	0	0	0	0	0	0	1	0	0
OXA-209	3001809	0	0	0	0	0	0	0	1	0	0
AAC(6')-Iaa	3002571	0	0	0	0	0	0	0	1	0	0
catIII	3002685	0	0	0	0	0	0	0	1	0	0
dfrA35	3005164	0	0	0	0	0	0	0	1	0	0
CMY-109	3002121	0	0	0	0	0	0	0	1	0	0
tet(42)	3000572	0	0	0	0	0	0	0	1	0	0
Type A NfxB	3004059	0	0	0	0	0	0	0	1	0	0
vatC	3002842	0	0	0	0	0	0	0	1	0	0
FOX-12	3002165	0	0	0	0	0	0	0	1	0	0
cmlA9	3005043	0	0	0	0	0	0	0	1	0	0
abeM	3000753	0	0	0	0	0	0	0	1	0	0
SRT-1	3002493	0	0	0	0	0	0	0	1	0	0
msrE	3003109	0	0	0	0	0	0	0	1	0	0
FosA6	3004111	0	0	0	0	0	0	0	1	0	0
qacG	3007015	0	0	0	0	0	0	0	1	0	0
erm(45)	3004595	0	0	0	0	0	0	0	1	0	0
qacE	3005009	0	0	0	0	0	0	0	1	0	0
Escherichia coli emrE	3004039	0	0	0	0	0	0	0	1	0	0
CRD3-1	3006864	0	0	0	0	0	0	0	1	0	0
ELM-1	3006885	0	0	0	0	0	0	0	1	0	0
AAC(6')-Iak	3003199	0	0	0	0	0	0	0	1	0	0
mphE	3003741	0	0	0	0	0	0	0	1	0	0
vgaALC	3002830	0	0	0	0	0	0	0	1	0	0
Chlamydia trachomatis intrinsic murA conferring resistance to fosfomycin	3003785	0	0	0	0	0	0	0	1	0	0
catB8	3002680	0	0	0	0	0	0	0	1	0	0
cmlA8	3004665	0	0	0	0	0	0	0	1	0	0
MexG	3000806	0	0	0	0	0	0	0	1	0	0
Vibrio cholerae varG	3004289	0	0	0	0	0	0	0	1	0	0
ACT-44	3006239	0	0	0	0	0	0	0	0	1	0
kdpe		0	0	0	0	0	0	0	0	0	0
sila		0	0	0	0	0	39	6	7	2	0
mrka		0	0	0	0	0	2	0	1	0	0
ant2ia		0	0	0	0	0	0	0	0	0	0
flia		0	0	0	0	1	7	0	0	0	0
flii		1	1	0	0	0	25	0	1	0	0
kpne		0	0	0	0	0	1	0	2	0	0
oqxb24		1	0	0	0	0	15	0	3	0	0
teml100		0	0	0	0	0	0	0	0	0	0
qacedelta1		0	0	0	0	0	0	0	0	0	0
wbbm		0	0	0	0	0	0	0	0	0	0
baca		0	0	0	0	0	0	0	0	0	0
manb		0	0	0	0	0	0	1	1	0	0
oqxa3		1	0	0	0	0	8	0	2	0	0
csgg		0	0	0	0	0	2	0	0	0	0
aada2		0	0	0	0	0	0	0	0	0	0
clbk		0	0	0	0	0	0	0	0	0	0
fimg		0	0	0	0	0	0	0	1	0	0
aaca16		0	0	0	0	0	0	0	0	0	0
gspm		0	0	0	0	0	0	0	0	0	0
clbo		0	0	0	0	0	0	0	0	0	0
hlyb		0	0	0	0	0	0	0	2	0	0
qnrb1		0	0	0	0	0	0	0	0	0	0
chuw		0	0	0	0	0	0	0	0	0	0
emrk		0	0	0	0	0	0	0	0	0	0
tssa		0	0	0	0	0	0	0	0	0	0
flip		0	0	0	0	0	6	0	1	0	0
ndm4		0	0	0	0	0	0	0	0	0	0
clbf		0	0	0	0	0	0	0	0	0	0
aph3ib		0	0	0	0	0	0	0	0	0	0
alld		0	0	0	0	0	0	0	3	0	0
dfra5		0	0	0	0	0	0	0	0	0	0
glpt		1	0	0	0	0	43	0	4	0	0
dha4		0	0	0	0	0	0	0	0	0	0
rmpa		0	0	0	0	0	0	0	0	0	0
catb3		0	0	0	0	0	0	0	0	0	0
rmtb		0	0	0	0	0	0	0	0	0	0
acrf		0	0	0	0	0	0	0	0	0	0
fha		0	0	0	0	0	0	0	0	0	0
espl1		0	0	0	0	0	0	1	0	0	0
paph		0	0	0	0	0	3	0	1	0	0
fima		0	0	0	0	0	0	0	0	0	0
nfsa		0	0	0	0	0	1	0	0	0	0
amph		0	0	0	0	0	2	0	0	0	0
msre		0	0	0	0	0	0	0	0	0	0
icmftssm		0	0	0	0	0	0	0	0	0	0
aph3ia		0	0	0	0	0	0	0	0	0	0
aac6ibhangzhou		0	0	0	0	0	0	0	0	0	0
csge		0	0	0	0	0	0	0	0	0	0
papb		0	0	0	0	0	8	1	3	2	0
msrb		0	0	0	0	0	0	0	0	0	0
fimh		0	0	0	0	0	0	0	1	0	0
yagwecpd		0	0	0	0	0	0	0	4	0	0
kpss		0	0	0	0	0	0	0	0	0	0
vipbtssc		0	0	0	0	0	15	0	0	1	0
scintssj		0	0	0	0	0	0	0	1	0	0
aada16		0	0	0	0	0	0	0	0	0	0
hcp2tssd2		0	0	0	0	0	0	0	0	0	0
roma		0	0	0	0	0	2	1	1	0	0
aac3iia		0	0	0	0	0	0	0	0	0	0
rpos		0	0	0	0	0	18	3	7	0	0
ybts		0	0	0	0	0	0	0	0	0	0
sfaf		0	0	0	0	0	0	0	0	0	0
ctxm15		0	0	0	0	0	0	0	0	0	0
shux		0	0	0	0	0	0	0	0	0	0
shvl64		0	0	0	0	0	0	0	0	0	0
ybtt		0	0	0	0	0	0	0	0	0	0
gspl		0	0	0	0	0	0	0	0	0	0
ibea		0	0	0	0	0	0	0	0	0	0
oqxb32		1	0	0	0	0	15	0	3	0	0
oxa1		0	0	0	0	0	0	0	0	0	0
aac6ibcr		0	0	0	0	0	0	0	0	0	0
asla		0	0	0	0	0	0	0	0	0	0
ompk37		0	0	0	0	0	0	0	0	0	0
kpsf		0	0	0	0	0	0	0	0	0	0
rmtf		0	0	0	0	0	0	0	0	0	0
iucb		0	0	0	0	0	4	0	0	0	0
fyua		0	0	0	0	0	0	0	0	0	0
ybta		0	0	0	0	0	0	0	0	0	0
aac6ibcr7		0	0	0	0	0	0	0	0	0	0
qacl		0	0	0	0	0	0	0	0	0	0
entc		1	0	0	0	0	2	0	5	0	0
tetg		0	0	0	0	0	0	0	0	0	0
wzx		0	0	0	0	0	2	0	4	0	0
mdtm		0	0	0	0	0	0	0	0	0	0
wzm		0	0	0	0	0	0	0	0	0	0
wcst		0	0	0	0	0	0	0	0	0	0
hlyc		0	0	0	0	0	0	1	0	0	0
aph4ia		0	0	0	0	0	0	0	0	0	0
act16		0	0	0	0	0	0	0	0	0	0
dfra12		0	0	0	0	0	0	0	0	0	0
espy2		0	0	0	0	0	0	0	0	0	0
sfad		0	0	0	0	0	0	0	0	0	0
cusf		0	0	0	0	0	0	1	0	0	0
clbi		0	0	0	0	0	0	0	0	0	0
wcss		0	0	0	0	0	0	0	0	0	0
aph3vi		0	0	0	0	0	0	0	0	0	0
aac3ii		0	0	0	0	0	0	0	0	0	0
dfra1		0	0	0	0	0	0	0	0	0	0
fimd		0	0	0	0	0	0	0	4	0	0
tssl		0	0	0	0	0	0	0	0	0	0
acrb		0	0	0	0	0	0	0	0	0	0
phoq		0	0	0	0	0	0	0	0	0	0
tssf		0	0	0	0	0	0	0	0	0	0
iuca		0	0	0	0	0	3	0	0	0	0
shv40		0	0	0	0	0	0	0	0	0	0
rosa		0	0	0	0	0	0	0	0	0	0
mdtb		0	0	0	0	0	0	0	0	0	0
fabi		0	0	0	0	0	2	0	2	0	0
tem1		0	0	0	0	0	0	0	0	0	0
aac6ib10		0	0	0	0	0	0	0	0	0	0
flor		0	0	0	0	0	0	0	0	0	0
iucc		0	0	0	0	0	4	0	0	0	0
eae		0	0	0	0	0	0	1	0	0	0
chux		0	0	0	0	0	0	0	0	0	0
cpxa		0	0	0	0	0	0	0	0	0	0
setb		0	0	0	0	0	19	0	3	0	0
sfax		0	0	0	0	0	0	0	0	0	0
papk		0	0	0	0	0	0	0	0	0	0
clbm		0	0	0	0	0	0	0	0	0	0
bamb		0	0	0	0	0	6	0	3	0	0
ybte		0	0	0	0	0	0	0	0	0	0
aac6ib8		0	0	0	0	0	0	0	0	0	0
wzt		0	0	0	0	0	0	0	1	0	0
fliq		0	0	0	0	0	6	0	0	0	0
chus		0	0	0	0	0	0	0	0	0	0
ctxm27		0	0	0	0	0	0	0	0	0	0
lap2		0	0	0	0	0	0	0	0	0	0
papj		0	0	0	0	0	0	0	0	0	0
kpsm		0	0	0	0	0	0	0	0	0	0
irob		0	0	0	0	0	3	0	4	0	0
kpsd		0	0	0	0	0	0	0	0	0	0
fepg		0	0	0	0	0	4	0	4	0	0
mrki		0	0	0	0	0	0	0	0	0	0
qnrs7		0	0	0	0	0	0	0	0	0	0
tesa		2	0	0	0	0	10	0	1	0	0
tssg		0	0	0	0	0	1	0	0	0	0
cpsacp		0	0	0	0	0	0	0	2	0	0
acrs		0	0	0	0	0	0	0	0	0	0
rpsl		0	0	0	0	0	6	0	6	0	0
entf		1	0	0	0	0	24	1	8	0	0
enta		0	0	0	0	0	4	0	5	0	0
mrx		0	0	0	0	0	0	0	0	0	0
espx2		0	0	0	0	0	0	0	0	0	0
fepa		0	0	0	0	0	21	0	10	0	0
tssj		0	0	0	0	0	0	0	0	0	0
vgrgtssi		0	0	0	0	0	0	0	0	0	0
wzc		0	0	0	0	0	0	0	0	0	0
qnrb20		0	0	0	0	0	0	0	0	0	0
shut		0	0	0	0	0	0	0	0	0	0
wzi		0	0	0	0	0	0	0	6	0	0
shv11		0	0	0	0	0	0	0	0	0	0
teta		0	0	0	0	0	0	0	0	0	0
vactox		0	0	0	0	0	0	0	0	0	0
sul3		0	0	0	0	0	0	0	0	0	0
pmre		0	0	0	0	0	0	0	1	0	0
yagzecpa		0	0	0	0	0	0	0	2	0	0
emra		0	0	0	0	0	0	0	0	0	0
ndm7		0	0	0	0	0	0	0	0	0	0
drae2		0	0	0	0	0	0	0	0	0	0
mphb		0	0	0	0	0	0	0	0	0	0
espy3		0	0	0	0	0	0	0	0	0	0
oqxa8		1	0	0	0	0	8	0	2	0	0
fosa73		0	0	0	0	0	0	0	0	0	0
clbq		0	0	0	0	0	0	0	0	0	0
wzb		0	0	0	0	0	0	0	0	0	0
ybda		0	0	0	0	0	0	0	0	0	0
clbp		0	0	0	0	0	0	0	0	0	0
emrd		0	0	0	0	0	0	0	0	0	0
clbj		0	0	0	0	0	0	0	0	0	0
mdlb		0	0	0	0	0	7	0	0	0	0
iroc		0	0	0	0	0	12	0	6	0	0
cnf1		0	0	0	0	0	0	0	0	0	0
mrkh		0	0	0	0	0	0	0	1	0	0
ybtq		0	0	0	0	0	0	0	0	0	0
alla		0	0	0	0	0	0	0	0	0	0
gadx		0	0	0	0	0	0	0	0	0	0
mdta		0	0	0	0	0	0	0	0	0	0
mrkf		0	0	0	0	0	0	0	1	0	0
tssc		0	0	0	0	0	0	0	0	0	0
ndm1		0	0	0	0	0	0	0	0	0	0
draa		0	0	0	0	0	0	0	0	0	0
chuy		0	0	0	0	0	0	0	0	0	0
espx6		0	0	0	0	0	0	0	0	0	0
crp		0	0	0	0	0	0	0	0	0	0
evgs		0	0	0	0	0	0	0	0	0	0
yhei		0	0	0	0	0	2	0	0	0	0
sfab		0	0	0	0	0	0	0	0	0	0
evga		0	0	0	0	0	0	0	0	0	0
kfoc		0	0	0	0	0	0	0	0	0	0
hlya		0	0	0	0	0	0	1	0	0	0
yoji		0	0	0	0	0	0	0	0	0	0
kpnf		0	0	0	0	0	0	0	0	0	0
espx4		0	0	0	0	0	0	0	0	0	0
arma		0	0	0	0	0	0	0	0	0	0
shv100		0	0	0	0	0	0	0	0	0	0
ndm5		0	0	0	0	0	0	0	0	0	0
clpvtssh		0	0	0	0	0	9	0	6	0	0
wcag		0	0	0	0	0	0	0	0	0	0
leuo		0	0	0	0	0	0	0	0	0	0
dfra30		0	0	0	0	0	0	0	0	0	0
gspk		0	0	0	0	0	0	0	0	0	0
gyrb		1	0	0	0	0	18	1	6	1	0
gspf		0	0	0	0	0	0	0	0	0	0
dotutssl		0	0	0	0	0	2	0	2	0	0
estxsat1		0	0	0	0	0	0	0	0	0	0
vipatssb		0	0	0	0	0	3	0	0	0	0
rmpa2		0	0	0	0	0	0	0	0	0	0
oqxa6		1	0	0	0	0	8	0	2	0	0
irp1		0	0	0	0	0	0	0	0	0	0
cata10		0	0	0	0	0	2	0	0	0	0
catii		0	0	0	0	0	0	0	0	0	0
shv30		0	0	0	0	0	0	0	0	0	0
cyca		1	0	0	0	0	32	3	4	0	0
dfra25		0	0	0	0	0	0	0	0	0	0
cmla5		0	0	0	0	0	0	0	0	0	0
shv106		0	0	0	0	0	0	0	0	0	0
erea		0	0	0	0	0	0	0	0	0	0
crcb		0	0	0	0	0	0	0	0	0	0
mrkc		0	0	0	0	0	2	0	3	0	0
mphd		0	0	0	0	0	0	0	1	0	0
oxa9		0	0	0	0	0	0	0	0	0	0
roba		1	1	0	0	0	4	0	1	0	0
chuv		0	0	0	0	0	0	0	0	0	0
shv33		0	0	0	0	0	0	0	0	0	0
ompa		0	0	0	0	0	0	0	0	0	0
uhpt		2	0	0	0	0	28	2	12	0	0
oqxb		0	0	0	0	0	0	0	0	0	0
mcr9		0	0	0	0	0	0	0	0	0	0
acrr		0	0	0	0	0	0	0	1	0	0
virb		0	0	0	0	0	0	0	0	0	0
qnrb29		0	0	0	0	0	0	0	0	0	0
ampr		0	0	0	0	0	0	0	0	0	0
ctxm33		0	0	0	0	0	0	0	0	0	0
tcpc_group2		0	0	0	0	0	0	0	0	0	0
aac3iic		0	0	0	0	0	0	0	0	0	0
baes		0	0	0	0	0	0	0	0	0	0
dfra19		0	0	0	0	0	0	0	0	0	0
espy1		0	0	0	0	0	0	0	0	0	0
yagxecpc		0	0	0	0	0	0	0	10	0	0
clbc		0	0	0	0	0	0	0	0	0	0
rcsb		0	0	0	0	0	25	0	6	0	0
shv1		0	0	0	0	0	0	0	0	0	0
oxa181		0	0	0	0	0	0	0	0	0	0
mrkd		0	0	0	0	0	1	0	2	0	0
tolc		0	0	0	0	0	0	0	0	0	0
ompk35		0	0	0	0	0	4	0	2	0	0
rcsa		0	0	0	0	0	0	0	1	0	0
iroe		0	0	0	0	0	1	0	3	0	0
shv122		0	0	0	0	0	0	0	0	0	0
gspj		0	0	0	0	0	0	0	0	0	0
gyra		0	0	0	0	0	57	2	19	0	0
fliy		0	0	0	0	0	14	0	4	0	0
alls		0	0	0	0	0	0	0	0	0	0
qnra1		0	0	0	0	0	0	0	0	0	0
fosa2		0	0	0	0	0	0	0	0	0	0
espr1		0	0	0	0	0	0	1	0	0	0
aph6id		0	0	0	0	0	0	0	0	0	0
aac6iic		0	0	0	0	0	0	0	0	0	0
clbh		0	0	0	0	0	0	0	0	0	0
cusa		0	0	0	0	0	4	0	0	0	0
tssm		0	0	0	0	0	0	0	0	0	0
impatssa		0	0	0	0	0	0	0	0	0	0
mdte		0	0	0	0	0	0	0	0	0	0
kpc2		0	0	0	0	0	0	0	0	0	0
fimi		0	0	0	0	0	0	0	2	0	0
cyaa		0	0	0	0	0	13	0	4	0	0
wcly		0	0	0	0	0	0	0	0	0	0
vgac		0	0	0	0	0	0	0	0	0	0
qnrb4		0	0	0	0	0	0	0	0	0	0
gtrb		0	0	0	0	0	0	0	0	0	0
shv110		0	0	0	0	0	0	0	0	0	0
mtfa		0	0	0	0	0	1	0	4	0	0
merr		0	0	0	0	0	7	0	0	0	0
wcaj		0	0	0	0	0	7	0	0	0	0
mrkb		0	0	0	0	0	1	0	1	0	0
glf		0	0	0	0	0	0	0	0	0	0
magawzy_k1		0	0	0	0	0	0	0	0	0	0
kdea		0	0	0	0	0	6	0	2	0	0
shv160		0	0	0	0	0	0	0	0	0	0
gspc		0	0	0	0	0	0	0	0	0	0
dfr		0	0	0	0	0	7	1	1	0	0
manc		0	0	0	0	0	1	0	2	0	0
mpha		0	0	0	0	0	0	0	0	0	0
tmrb		0	0	0	0	0	0	0	0	0	0
mdtc		0	0	0	0	0	0	0	0	0	0
shv31		0	0	0	0	0	0	0	0	0	0
mrkj		0	0	0	0	0	0	0	0	0	0
cusr		0	0	0	0	0	0	0	3	0	0
pape		0	0	0	0	0	9	0	1	0	0
inlj		0	0	0	0	0	0	0	0	0	0
mdtg		0	0	0	0	0	0	0	0	0	0
fepc		0	0	0	0	0	7	0	5	0	0
papgiii		0	0	0	0	0	0	0	0	0	0
msba		0	0	0	0	0	0	0	0	0	0
kpng		0	0	0	0	0	0	0	0	0	0
len6		0	0	0	0	0	0	0	0	0	0
fepb		0	0	0	0	0	5	0	2	0	0
fepd		1	0	0	0	0	11	0	1	0	0
dfra24		0	0	0	0	0	0	0	0	0	0
tetc		0	0	0	0	0	0	0	0	0	0
ermb		0	0	0	0	0	0	0	0	0	0
rama		0	0	0	0	0	0	0	0	0	0
qnrb10		0	0	0	0	0	0	0	0	0	0
papa		0	0	0	0	0	23	0	5	0	0
mara		0	0	0	0	0	0	0	0	0	0
cmy59		0	0	0	0	0	0	0	0	0	0
emry		0	0	0	0	0	0	0	0	0	0
espl4		0	0	0	0	0	0	0	0	0	0
sat2		0	0	0	0	0	0	0	0	0	0
ec145		0	0	0	0	0	5	0	1	0	0
fdec		0	0	0	0	0	0	0	0	0	0
aac630_aac6ibfusionprotein		0	0	0	0	0	0	0	0	0	0
sfag		0	0	0	0	0	0	0	0	0	0
pmrf		0	0	0	0	0	0	0	0	0	0
aada		0	0	0	0	0	0	0	0	0	0
hns		0	0	0	0	0	0	0	0	0	0
drap		0	0	0	0	0	0	0	0	0	0
oqxb25		1	0	0	0	0	14	0	3	0	0
acra		0	0	0	0	0	19	0	4	0	0
chey		0	0	0	0	0	4	0	0	0	0
aac3iv		0	0	0	0	0	0	0	0	0	0
svhl71		0	0	0	0	0	0	0	0	0	0
irod		0	0	0	0	0	2	0	0	0	0
fliz		0	0	0	0	0	0	0	0	0	0
kpsc		0	0	0	0	0	0	0	0	0	0
oqxa11		1	0	0	0	0	8	0	2	0	0
oqxb5		1	0	0	0	0	15	0	3	0	0
shv60		0	0	0	0	0	0	0	0	0	0
wza		0	0	0	0	0	11	0	0	0	0
multidrug_efflux_smr_transporter		0	0	0	0	0	0	0	0	0	0
ant3iia		0	0	0	0	0	0	0	0	0	0
gmd		0	0	0	0	0	9	0	0	0	0
argr		0	0	0	0	0	9	0	2	0	0
kphs_23120		0	0	0	0	0	0	0	0	0	0
sul1		0	0	0	0	0	0	0	0	0	0
shv12		0	0	0	0	0	0	0	0	0	0
ugd		0	0	0	0	0	0	0	0	0	0
clbs		0	0	0	0	0	0	0	0	0	0
rosb		0	0	0	0	0	0	0	0	0	0
oqxr		0	0	0	0	0	0	0	0	0	0
gale		0	0	0	0	0	3	0	2	0	0
allb		0	0	0	0	0	0	0	0	0	0
tli1		0	0	0	0	0	0	0	0	0	0
silc		0	0	0	0	0	11	1	10	0	0
erea2		0	0	0	0	0	0	0	0	0	0
kpsu		0	0	0	0	0	0	0	0	0	0
ramr		0	0	0	0	0	0	0	1	0	0
dfra14		0	0	0	0	0	0	0	0	0	0
aac6ib7		0	0	0	0	0	0	0	0	0	0
gspe		0	0	0	0	0	0	0	0	0	0
parc		0	0	0	0	0	42	0	17	0	0
arr3		0	0	0	0	0	0	0	0	0	0
wbbn		0	0	0	0	0	0	0	0	0	0
drad		0	0	0	0	0	0	0	0	0	0
nfae		0	0	0	0	0	0	0	0	0	0
fosa9		0	0	0	0	0	0	0	2	0	0
wcah		0	0	0	0	0	0	0	0	0	0
fimk		0	0	0	0	0	0	0	0	0	0
flha		1	0	0	0	0	26	0	0	0	0
maca		0	0	0	0	0	0	0	0	0	0
sul2		0	0	0	0	0	0	0	0	0	0
feob		0	0	0	0	0	0	0	0	0	0
rhspaar		0	0	0	0	0	1	0	0	0	0
clbl		0	0	0	0	0	0	0	0	0	0
acre		0	0	0	0	0	0	0	0	0	0
srpc		0	0	0	0	0	3	0	0	0	0
clba		0	0	0	0	0	0	0	0	0	0
fes		0	0	0	0	0	1	0	3	0	0
cati		0	0	0	0	0	0	0	0	0	0
gspi		0	0	0	0	0	0	0	0	0	0
hlyd		0	0	0	0	0	0	0	0	0	0
kpnh		0	0	0	0	0	0	0	0	0	0
porin		1	0	0	0	0	16	0	0	0	0
macb		0	0	0	0	0	0	0	0	0	0
oqxb14		1	0	0	0	0	15	0	3	0	0
ampc1		0	0	0	0	0	0	0	0	0	0
hcptssd		0	0	0	0	0	0	0	0	0	0
clbn		0	0	0	0	0	0	0	0	0	0
oqxb22		1	0	0	0	0	15	0	3	0	0
act17		0	0	0	0	0	0	0	0	0	0
eptb		0	0	0	0	0	0	0	0	0	0
ompr		0	0	0	0	0	32	0	6	0	0
lpfa1		0	0	0	0	0	0	0	0	0	0
dfra27		0	0	0	0	0	0	0	0	0	0
oxa2		0	0	0	0	0	0	0	0	0	0
clbe		0	0	0	0	0	0	0	0	0	0
pare		7	0	0	0	0	42	0	11	0	0
rnfc		0	0	0	0	0	14	0	15	0	0
mdtn		0	0	0	0	0	0	0	0	0	0
yagyecpb		0	0	0	0	0	0	0	2	0	0
ompk36		0	0	0	0	0	16	1	3	0	0
clbd		0	0	0	0	0	0	0	0	0	0
act56		0	0	0	0	0	0	0	0	0	0
shv26		0	0	0	0	0	0	0	0	0	0
shv28		0	0	0	0	0	0	0	0	0	0
suge		0	0	0	0	0	5	0	0	0	0
mdtf		0	0	0	0	0	0	0	0	0	0
fime		0	0	0	0	0	0	0	1	0	0
folc		1	0	0	0	0	7	0	0	0	0
galf		0	0	0	0	0	15	0	1	0	0
oqxb20		1	0	0	0	0	15	0	3	0	0
gnd		0	0	0	0	0	26	1	0	0	0
mdto		0	0	0	0	0	0	0	0	0	0
lpfa		0	0	0	0	0	0	0	0	0	0
fimb		0	0	0	0	0	0	0	3	0	0
mdtk		0	0	0	0	0	0	0	0	0	0
allr		0	0	0	0	0	0	0	0	0	0
catb		0	0	0	0	0	0	0	0	0	0
iuta		0	0	0	0	0	0	0	0	0	0
shv187		0	0	0	0	0	0	0	0	0	0
sfay		0	0	0	0	0	0	0	0	0	0
emre		0	0	0	0	0	0	0	0	0	0
shv7		0	0	0	0	0	0	0	0	0	0
tetd		0	0	0	0	0	0	0	0	0	0
baer		0	0	0	0	0	0	0	0	0	0
brpmbl		0	0	0	0	0	0	0	0	0	0
fosa5		0	0	0	0	0	0	0	0	0	0
espx1		0	0	0	0	0	0	1	0	0	0
sfah		0	0	0	0	0	0	0	0	0	0
tssb		0	0	0	0	0	0	0	0	0	0
acrd		0	0	0	0	0	0	0	0	0	0
espx5		0	0	0	0	0	0	0	0	0	0
cuss		0	0	0	0	0	0	0	0	0	0
sotb		0	0	0	0	0	4	0	1	0	0
flig		0	2	0	0	0	18	0	0	0	0
irp2		0	0	0	0	0	0	0	0	0	0
papd		0	0	0	0	0	8	0	1	0	0
kpse		0	0	0	0	0	0	0	0	0	0
ybtx		0	0	0	0	0	0	0	1	0	0
entd		0	0	0	0	0	0	0	2	0	0
oqxb9		1	0	0	0	0	16	0	2	0	0
clbg		0	0	0	0	0	0	0	0	0	0
oqxa		0	0	0	0	0	0	0	0	0	0
fosa		0	0	0	0	0	0	0	0	0	0
papi		0	0	0	0	0	0	0	0	0	0
flij		0	0	0	0	0	3	0	0	0	0
chut		0	0	0	0	0	0	0	0	0	0
focc		0	0	0	0	0	0	0	0	0	0
gspd		0	0	0	0	0	0	0	0	0	0
espy4		0	0	0	0	0	0	0	0	0	0
mdtp		0	0	0	0	0	0	0	0	0	0
clbb		0	0	0	0	0	0	0	0	0	0
oqxb19		1	0	0	0	0	16	0	3	0	0
oqxa10		1	0	0	0	0	8	0	2	0	0
ykgkecpr		0	0	0	0	0	0	0	2	0	0
fimf		0	0	0	0	0	0	0	2	0	0
wcai		0	0	0	0	0	5	0	0	0	0
aac6ibsuzhou		0	0	0	0	0	0	0	0	0	0
arnt		0	0	0	0	0	0	0	0	0	0
shuy		0	0	0	0	0	0	0	0	0	0
emrr		0	0	0	0	0	0	0	0	0	0
ptxd		0	0	0	0	0	0	0	0	0	0
lptd		0	0	0	0	0	0	0	0	0	0
ptsi		0	0	0	0	0	39	0	4	0	0
soxr		0	0	0	0	0	0	0	0	0	0
oxa232		0	0	0	0	0	0	0	0	0	0
gsph		0	0	0	0	0	0	0	0	0	0
wbbo		0	0	0	0	0	0	0	0	0	0
iron		0	0	0	0	0	6	0	1	0	0
gspg		0	0	0	0	0	0	0	1	0	0
pmrc		0	0	0	0	0	0	0	0	0	0
ente		0	0	0	0	0	13	0	4	2	0
tem98		0	0	0	0	0	0	0	0	0	0
papc		0	0	0	0	0	4	0	2	0	0
ybtu		0	0	0	0	0	0	0	0	0	0
shv168		0	0	0	0	0	0	0	0	0	0
marr		0	0	0	0	0	0	0	0	0	0
hcp1tssd1		0	0	0	0	0	0	0	0	0	0
papf		0	0	0	0	0	2	0	1	0	0
dha1		0	0	0	0	0	0	0	0	0	0
shv76		0	0	0	0	0	0	0	0	0	0
