"","Observed","Chao1","se.chao1","Shannon"
"CAMDA23_MetaSUB_gCSD17_TOK_21",2,2,0.353553390593274,0.562335144618808
"CAMDA23_MetaSUB_gCSD17_TOK_22",6,7.5,2.53968501984006,1.02517677095363
"CAMDA23_MetaSUB_gCSD17_TOK_23",2,2,0.176776695296637,0.636514168294813
"CAMDA23_MetaSUB_gCSD17_TOK_24",2,2,0.176776695296637,0.636514168294813
"CAMDA23_MetaSUB_gCSD17_TOK_25",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_TOK_2",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_TOK_3",4,10,6.97137002317335,1.38629436111989
"CAMDA23_MetaSUB_gCSD17_TOK_4",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_TOK_5",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_TOK_6",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD17_TOK_7",4,5.5,2.51811617899355,1.33217904021012
"CAMDA23_MetaSUB_gCSD17_TOK_8",4,5.5,2.51811617899355,1.33217904021012
"CAMDA23_MetaSUB_gCSD17_TOK_9",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_VIE_10",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_VIE_11",4,7,4.34248118673448,0.44624376141549
"CAMDA23_MetaSUB_gCSD17_VIE_12",2,2,0.353553390593274,0.500402423538188
"CAMDA23_MetaSUB_gCSD17_VIE_13",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_VIE_14",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_VIE_15",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_VIE_16",4,4,0.21650635094611,1.11506598409643
"CAMDA23_MetaSUB_gCSD17_VIE_1",4,10,6.97137002317335,1.38629436111989
"CAMDA23_MetaSUB_gCSD17_VIE_2",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_VIE_3",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_VIE_4",3,3.5,1.23563170657187,1.03972077083992
"CAMDA23_MetaSUB_gCSD17_VIE_5",4,10,6.97137002317335,1.38629436111989
"CAMDA23_MetaSUB_gCSD17_VIE_6",3,3,0.408248290463863,1.00424247305408
"CAMDA23_MetaSUB_gCSD17_VIE_7",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_VIE_8",4,4,0.433012701892219,0.943677618437777
"CAMDA23_MetaSUB_gCSD17_VIE_9",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_ZRH_10",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_ZRH_11",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_ZRH_12",5,8,4.08885680844903,1.56071040904141
"CAMDA23_MetaSUB_gCSD17_ZRH_13",17,32,12.801909579781,1.38793975754951
"CAMDA23_MetaSUB_gCSD17_ZRH_14",5,8,4.38391947918755,1.16409173055667
"CAMDA23_MetaSUB_gCSD17_ZRH_15",3,6,4.28660704987056,1.09861228866811
"CAMDA23_MetaSUB_gCSD17_ZRH_16",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_ZRH_1",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_ZRH_2",0,0,NA,0
"CAMDA23_MetaSUB_gCSD17_ZRH_3",1,1,0,0
"CAMDA23_MetaSUB_gCSD17_ZRH_4",3,3,0.204124145231932,0.759547391474863
"CAMDA23_MetaSUB_gCSD17_ZRH_5",4,10,6.97137002317335,1.38629436111989
"CAMDA23_MetaSUB_gCSD17_ZRH_6",6,21,13.4562784071759,1.79175946922805
"CAMDA23_MetaSUB_gCSD17_ZRH_7",4,10,6.97137002317335,1.38629436111989
"CAMDA23_MetaSUB_gCSD17_ZRH_8",2,3,2.04124145231932,0.693147180559945
"CAMDA23_MetaSUB_gCSD17_ZRH_9",1,1,0,0
