ID	Species	AST-based group	WGS - AMR markers
S22	Escherichia coli	Non-CP CRE	AcrA, AcrB, AcrD, AcrE, AcrF, AcrS, allB, ampC1, ampH, APH(3'')-Ib, APH(6)-Id, argR, BacA, BaeR, BaeS, cheY, clpV-tssH, CMY-59, CpxA, CRP, csgE, csgG, cusF, cusR, cycA, DfrA14, EC-148, EmrA, EmrB, EmrD, EmrK, EmrR, EmrY, entB, entC, entD, entE, entF, espL1, espR1, EspX1, espX5, EvgA, EvgS, fdeC, fepA, fepB, fepC, fepD, fepG, fes, fha, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, flhA, fliA, fliG, fliI, fliQ, fliY, fliZ, FloR, GadW, GadX, GlpT, gnd, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gyrA, H-NS, hcp1-tssD1, hcp2-tssD2, KdpE, LpfA, MacA, MarA, MarR, MdfA, mdlB, MdtA, MdtB, MdtC, MdtE, MdtF, MdtG, MdtH, MdtM, MdtN, MdtO, MdtP, Mph(B), MsbA, MsrB, OmpA, ompR, parC, PatA, PhoQ, PmrC, PmrF, PmrL, QnrS7, rcsB, rhs-PAAR, rnfC, RosB, rpoS, Rpsl, sfaH, SoxR, sugE, Sul2, TEM-1, Tet(A), TolC, tssA, tssB, tssC, tssF, tssJ, tssL, tssM, ugd, vgrG-tssI, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, yheI, ykgK-ecpR, YojI
S23	Klebsiella pneumoniae	3GC-resistant	AAC(3)-IIc, AAC(6')-Ib-cr, AcrA, AcrB, AcrD, AcrR, APH(3'')-Ib, APH(6)-Id, argR, ArnT, BaeR, BaeS, bamB, CatB3, clpV-tssH, cpsACP, CpxA, CRP, CTX-M-15, cusR, cycA, DfrA14, dotU-tssL, EmrD, EmrR, entA, entB, entC, entD, entE, entF, eptB, feoB, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, FosA, galF, glf, GlpT, gnd, H-NS, hcp-tssD, hlyB, icmF-tssM, IroE, KdeA, kfoC, KpnE, KpnF, KpnG, KpnH, leuO, LptD, manB, manC, MarA, MdtB, MdtC, mrkA, mrkB, mrkC, mrkD, mrkF, mrkH, mrkI, mrkJ, MsbA, mtfA, OmpA, OmpK37, ompR, OqxA, OqxB25, OXA-1, parC, PatA, QnrB1, RamA, rcsA, rcsB, rnfC, RosA, RosB, rpoS, Rpsl, sciN-tssJ, sfaG, SHV-1, SilA, SilB, SilC, Sul2, TEM-1, tesA, Tet(A), TmrB, tssF, ugd, UhpT, vasE-tssK, vipA-tssB, vipB-tssC, wbbM, wbbN, wbbO, wzi, wzm, wzt, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybdA
S24	Klebsiella pneumoniae	3GC-resistant	AAC(3)-IIc, AAC(6')-Ib-cr, AcrA, AcrB, AcrD, AcrR, APH(3'')-Ib, APH(6)-Id, argR, ArnT, BaeR, bamB, BasS, CatB3, clpV-tssH, CpxA, CRP, CTX-M-15, cusR, cycA, DfrA14, DfrA19, dotU-tssL, EmrD, EmrR, entA, entB, entC, entE, entF, eptB, feoB, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, FosA, galF, GlpT, gnd, gyrA, H-NS, hcp-tssD, icmF-tssM, impA-tssA, IroE, KdeA, KPHS_23120, KpnE, KpnF, KpnG, KpnH, LEN-6, leuO, LptD, manB, manC, MarA, MCR-9, MdtB, MdtC, MerR, mrkA, mrkB, mrkC, mrkD, mrkF, mrkH, mrkI, mrkJ, MsbA, mtfA, OmpA, OmpK36, OmpK37, ompR, OqxA, OqxB25, OXA-1, parC, PatA, QnrB20, RamA, RamR, rcsA, rcsB, rnfC, RosA, RosB, rpoS, Rpsl, sciN-tssJ, sfaG, SHV-31, SilA, SilB, SilC, Sul1, Sul2, TEM-1, tesA, Tet(A), tle1, tli1, TmrB, tssF, ugd, UhpT, vasE-tssK, Vga(C), vgrG-tssI, vipA-tssB, vipB-tssC, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybdA
S25	Klebsiella pneumoniae	3GC-resistant	AAC(3)-IIc, AAC(6')-Ib-cr, AcrA, AcrB, AcrD, AcrR, APH(3'')-Ib, APH(6)-Id, argR, ArnT, BaeR, bamB, BasS, CatB3, clpV-tssH, CpxA, CRP, CTX-M-15, cusR, cycA, DfrA14, DfrA19, dotU-tssL, EmrD, EmrR, entA, entB, entC, entE, entF, eptB, feoB, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, FosA, galF, GlpT, gnd, gyrA, H-NS, hcp-tssD, icmF-tssM, impA-tssA, IroE, KdeA, KPHS_23120, KpnE, KpnF, KpnG, KpnH, leuO, LptD, manB, manC, MarA, MCR-9, MdtB, MdtC, MerR, mrkA, mrkB, mrkC, mrkD, mrkF, mrkH, mrkI, mrkJ, MsbA, mtfA, OmpA, OmpK36, OmpK37, ompR, OqxA, OqxB25, OXA-1, parC, PatA, QnrB20, RamA, RamR, rcsA, rcsB, rnfC, RosA, RosB, rpoS, Rpsl, sciN-tssJ, sfaG, SHV-11, SilA, SilB, SilC, Sul1, Sul2, TEM-1, tesA, Tet(A), tle1, tli1, TmrB, tssF, ugd, UhpT, vasE-tssK, Vga(C), vgrG-tssI, vipA-tssB, vipB-tssC, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybdA
S26	Klebsiella pneumoniae	3GC-resistant	AAC(3)-IIc, AAC(6')-Ib-cr, AcrA, AcrB, AcrD, AcrR, argR, ArnT, BaeR, BaeS, bamB, CatB3, clpV-tssH, cpsACP, CpxA, CRP, CTX-M-15, cusR, cycA, DfrA14, dotU-tssL, EmrD, EmrR, eptB, feoB, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, FosA, fyuA, galF, glf, GlpT, gnd, gyrA, H-NS, hcp-tssD, icmF-tssM, impA-tssA, IroE, irp1, irp2, KdeA, kfoC, KPHS_23120, KpnE, KpnF, KpnG, KpnH, leuO, LptD, manB, manC, MarA, MdtB, MdtC, mrkB, mrkC, mrkD, mrkF, mrkH, mrkI, mrkJ, MsbA, mtfA, OmpA, OmpK36, OmpK37, ompR, OqxA, OqxB19, OXA-1, parC, PatA, QnrB1, RamA, rcsA, rcsB, rnfC, RosA, RosB, rpoS, Rpsl, sciN-tssJ, sfaG, SHV-11, SilA, SilB, SilC, tesA, Tet(A), tle1, tli1, TmrB, tssF, ugd, UhpT, vasE-tssK, Vga(C), vgrG-tssI, vipA-tssB, vipB-tssC, wbbM, wbbN, wbbO, wza, wzi, wzm, wzt, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybtA, ybtE, YbtQ, ybtS, ybtT
S27	Klebsiella pneumoniae	3GC-resistant	AAC(6')-Ib-cr, AcrA, AcrB, AcrD, AcrR, APH(3'')-Ib, APH(6)-Id, argR, ArnT, BaeR, BaeS, bamB, CatB3, clpV-tssH, cpsACP, CpxA, CRP, CTX-M-15, cusR, cycA, DfrA14, dotU-tssL, EmrD, EmrR, entA, entB, entC, entE, entF, eptB, feoB, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, FosA, Fosa7.3, galF, glf, GlpT, gnd, H-NS, hcp-tssD, icmF-tssM, IroE, KdeA, KpnE, KpnF, KpnG, KpnH, leuO, LptD, manB, manC, MarA, MdtB, MdtC, mrkA, mrkB, mrkC, mrkD, mrkF, mrkH, mrkI, mrkJ, MsbA, mtfA, OmpA, OmpK36, OmpK37, ompR, OqxA, OqxB19, OXA-1, parC, PatA, QnrB1, RamA, rcsA, rcsB, rnfC, RosA, RosB, rpoS, Rpsl, sciN-tssJ, sfaG, SHV-11, SilA, SilB, SilC, Sul2, TEM-1, tesA, Tet(A), tssF, ugd, UhpT, vasE-tssK, Vga(C), vipA-tssB, vipB-tssC, wbbM, wbbN, wbbO, wza, wzi, wzm, wzt, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybdA
S28	Klebsiella pneumoniae	3GC-resistant	AcrA, AcrB, AcrD, AcrR, APH(3'')-Ib, APH(6)-Id, argR, ArnT, BaeR, BaeS, bamB, clpV-tssH, cpsACP, CpxA, CRP, CTX-M-15, cusR, cycA, DfrA14, dotU-tssL, EmrD, EmrR, entA, entB, entC, entD, entE, entF, eptB, feoB, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, FosA, galF, glf, GlpT, gnd, H-NS, hcp-tssD, icmF-tssM, impA-tssA, IroE, KdeA, kfoC, KpnE, KpnF, KpnG, KpnH, leuO, LptD, manB, manC, MarA, MdtB, MdtC, mrkA, mrkB, mrkC, mrkD, mrkF, mrkH, mrkI, mrkJ, MsbA, mtfA, OmpA, OmpK36, OmpK37, ompR, OqxA, OqxB32, parC, PatA, QnrB1, RamA, rcsA, rcsB, rnfC, RosA, RosB, rpoS, Rpsl, sciN-tssJ, sfaG, SHV-187, SilA, SilB, SilC, Sul2, TEM-1, tesA, tssF, ugd, UhpT, vasE-tssK, Vga(C), vgrG-tssI, vipA-tssB, vipB-tssC, virB, wbbM, wbbN, wbbO, wza, wzi, wzm, wzt, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybdA
S29	Klebsiella pneumoniae	3GC-resistant	AcrA, AcrB, AcrD, AcrR, APH(3'')-Ib, APH(6)-Id, argR, ArnT, BaeR, BaeS, bamB, clpV-tssH, cpsACP, CpxA, CRP, CTX-M-15, cusR, cycA, DfrA14, dotU-tssL, EmrD, EmrR, entA, entB, entC, entE, entF, eptB, feoB, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, fosa9, galF, GlpT, gnd, H-NS, hcp-tssD, hlyB, icmF-tssM, IroE, KdeA, KpnE, KpnF, KpnG, KpnH, leuO, LptD, MarA, MdtB, MdtC, mrkA, mrkB, mrkC, mrkD, mrkF, mrkH, mrkI, mrkJ, mtfA, OmpA, OmpK36, OmpK37, ompR, OqxA, OqxB25, parC, PatA, PmrE, QnrB1, RamA, rcsA, rcsB, rnfC, RosA, RosB, rpoS, Rpsl, sciN-tssJ, sfaG, SHV-11, SilA, SilB, SilC, Sul2, TEM-1, tesA, Tet(A), tssF, UhpT, vasE-tssK, vipA-tssB, vipB-tssC, wza, wzi, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybdA
S30	Klebsiella pneumoniae	3GC-susceptible	AAC(6')-Ib8, AcrA, AcrB, AcrD, AcrR, argR, ArnT, BaeR, BaeS, bamB, ClbA, ClbB, ClbC, clbD, clbE, clbF, clbG, clbH, clbI, clbJ, clbL, clbM, clbN, clbO, clbP, clbQ, clbS, clpV-tssH, cpsACP, CpxA, CrcB, CRP, cusR, cycA, dotU-tssL, EmrD, EmrR, entA, entB, entC, entE, entF, eptB, feoB, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, FosA, fyuA, galF, glf, GlpT, gnd, H-NS, hcp-tssD, hlyB, icmF-tssM, impA-tssA, IroE, irp1, irp2, KdeA, KpnE, KpnF, KpnG, KpnH, leuO, LptD, manB, manC, MarA, MdtB, MdtC, mrkA, mrkB, mrkF, mrkH, mrkI, mtfA, OmpA, OmpK36, OmpK37, ompR, OqxA10, OqxB19, parC, PatA, ptxD, RamA, rcsA, rcsB, rnfC, RosA, RosB, rpoS, Rpsl, sciN-tssJ, setB, sfaG, SHV-1, tesA, tssF, ugd, UhpT, vasE-tssK, vgrG-tssI, vipA-tssB, vipB-tssC, wbbM, wbbN, wbbO, wza, wzi, wzm, wzt, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybdA, ybtA, ybtE, YbtQ, ybtS, ybtT
S31	Klebsiella pneumoniae	3GC-susceptible	AcrA, AcrB, AcrD, AcrR, allA, allB, allC, allD, allR, allS, argR, ArnT, BaeR, BaeS, bamB, BasS, clpV-tssH, cpsACP, CpxA, CRP, cusR, cycA, dotU-tssL, EmrD, EmrR, entA, entB, entC, entD, entE, entF, eptB, feoB, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, FosA, fyuA, galF, GlpT, gnd, H-NS, hcp-tssD, icmF-tssM, IroE, irp1, irp2, KdeA, KpnE, KpnF, KpnG, KpnH, leuO, LptD, manB, MarA, MdtB, MdtC, mrkA, mrkB, mrkC, mrkD, mrkF, mrkH, mrkI, mrkJ, MsbA, mtfA, OmpA, OmpK36, OmpK37, ompR, OqxA, OqxB32, parC, PatA, ptxD, RamA, rcsA, rcsB, rnfC, RosA, RosB, rpoS, Rpsl, sciN-tssJ, sfaG, SHV-71, SilA, SilB, SilC, tesA, tssF, ugd, UhpT, vasE-tssK, vipA-tssB, vipB-tssC, wza, wzi, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybdA, ybtA, ybtE, YbtQ, ybtS, ybtT
S32	Klebsiella pneumoniae	3GC-susceptible	AcrA, AcrB, AcrD, AcrR, allA, allB, allC, allD, allR, allS, argR, ArnT, BaeR, BaeS, bamB, ClbA, ClbB, ClbC, clbD, clbE, clbF, clbG, clbH, clbI, clbJ, clbL, clbM, clbN, clbO, clbP, clbQ, clbS, clpV-tssH, cpsACP, CpxA, CRP, cusR, cycA, dotU-tssL, EmrD, EmrR, entA, entB, entC, entD, entE, entF, eptB, feoB, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, FosA, fyuA, galF, glf, GlpT, gmd, gnd, H-NS, hcp-tssD, hlyB, icmF-tssM, iroB, iroC, iroD, IroE, IroN, irp1, irp2, IucA, iucB, iucC, iucD, iutA, KdeA, kfoC, KpnE, KpnF, KpnG, KpnH, leuO, LptD, magA-wzy_K1, manB, manC, MarA, MdtB, MdtC, mrkA, mrkB, mrkC, mrkD, mrkF, mrkH, mrkI, mrkJ, MsbA, mtfA, OmpA, OmpK36, OmpK37, ompR, OqxA, OqxB19, parC, PatA, RamA, rcsA, rcsB, rmpA, rmpA2, rnfC, RosA, RosB, rpoS, Rpsl, sciN-tssJ, setB, sfaG, SHV-11, SilA, SilB, SilC, tesA, tssF, ugd, UhpT, vasE-tssK, Vga(C), vipA-tssB, vipB-tssC, virB, wbbM, wbbN, wbbO, wcaH, wcaI, wcaJ, wclY, wcsS, wcsT, wza, wzb, wzc, wzi, wzm, wzt, wzx, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybdA, ybtA, ybtE, YbtQ, ybtS, ybtT
S33	Klebsiella pneumoniae	3GC-susceptible	AcrA, AcrB, AcrD, AcrR, argR, ArnT, BaeR, BaeS, bamB, BasS, clpV-tssH, cpsACP, CpxA, CRP, cusR, cycA, DfrA14, dotU-tssL, EmrD, EmrR, entA, entB, entC, entD, entE, entF, eptB, feoB, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, FosA, galF, glf, GlpT, gnd, H-NS, hcp-tssD, icmF-tssM, IroE, KdeA, KpnE, KpnF, KpnG, KpnH, leuO, LptD, manB, manC, MarA, MdtB, MdtC, mrkA, mrkB, mrkC, mrkD, mrkF, mrkH, mrkI, mrkJ, MsbA, mtfA, OmpA, OmpK36, OmpK37, ompR, OqxA11, OqxB19, parC, PatA, ptxD, RamA, rcsA, rcsB, rnfC, RosA, RosB, rpoS, Rpsl, sciN-tssJ, sfaG, SHV-1, SilA, SilB, SilC, Sul2, tesA, Tet(D), tssF, ugd, UhpT, vasE-tssK, vipA-tssB, vipB-tssC, virB, wbbM, wbbN, wbbO, wza, wzi, wzm, wzt, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybdA
S34	Klebsiella pneumoniae	3GC-susceptible	AcrA, AcrB, AcrD, AcrR, argR, ArnT, BaeR, BaeS, bamB, ClbB, ClbC, clbD, clbE, clbF, clbG, clbH, clbI, clbJ, clbL, clbM, clbN, clbO, clbP, clbQ, clbS, clpV-tssH, cpsACP, CpxA, CRP, cusR, cycA, DfrA25, dotU-tssL, EmrD, EmrR, entA, entB, entC, entD, entE, entF, eptB, feoB, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, FosA, fyuA, galF, glf, GlpT, gnd, H-NS, hcp-tssD, icmF-tssM, impA-tssA, IroE, irp1, irp2, KdeA, KPHS_23120, KpnE, KpnF, KpnG, KpnH, leuO, LptD, MarA, MdtB, MdtC, MerR, mrkA, mrkB, mrkC, mrkD, mrkF, mrkH, mrkI, mrkJ, MsbA, mtfA, OmpA, OmpK36, OmpK37, ompR, OqxA, OqxB5, parC, PatA, ptxD, QnrB20, RamA, rcsA, rcsB, rnfC, RosA, RosB, rpoS, Rpsl, sciN-tssJ, sfaG, SHV-1, SilA, SilB, SilC, Sul1, tesA, Tet(A), Tet(D), tle1, tli1, tssF, ugd, UhpT, vasE-tssK, vgrG-tssI, vipA-tssB, vipB-tssC, wbbM, wbbN, wbbO, wza, wzi, wzm, wzt, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybdA, ybtA, ybtE, YbtQ, ybtS, ybtT
S35	Klebsiella pneumoniae	3GC-susceptible	AcrA, AcrB, AcrD, AcrR, argR, ArnT, BaeR, BaeS, bamB, clpV-tssH, cpsACP, CpxA, CrcB, CRP, cusR, cycA, dotU-tssL, EmrD, EmrR, entA, entB, entC, entD, entE, entF, eptB, feoB, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, FosA, galF, GlpT, gnd, H-NS, hcp-tssD, hlyB, icmF-tssM, impA-tssA, IroE, KdeA, KpnE, KpnF, KpnG, KpnH, leuO, LptD, MarA, MdtB, MdtC, mrkA, mrkB, mrkC, mrkD, mrkF, mrkH, mrkI, mrkJ, MsbA, mtfA, OmpA, OmpK36, OmpK37, ompR, OqxA, OqxB14, parC, PatA, RamA, rcsA, rcsB, rnfC, RosA, RosB, rpoS, Rpsl, sciN-tssJ, sfaG, SHV-11, tesA, tssF, ugd, UhpT, vasE-tssK, vipA-tssB, vipB-tssC, wza, wzi, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybdA
S36	Klebsiella pneumoniae	3GC-susceptible	AcrA, AcrB, AcrD, AcrR, argR, ArnT, BaeR, BaeS, bamB, clpV-tssH, cpsACP, CpxA, CrcB, CRP, cusR, cycA, dotU-tssL, EmrD, EmrR, entA, entB, entC, entE, entF, eptB, feoB, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, FosA, galF, glf, GlpT, gnd, gyrA, H-NS, hcp-tssD, hlyB, icmF-tssM, impA-tssA, IroE, KdeA, KpnE, KpnF, KpnG, KpnH, leuO, LptD, manB, manC, MarA, MdtB, MdtC, mrkA, mrkB, mrkC, mrkD, mrkF, mrkH, mrkI, mrkJ, MsbA, mtfA, OmpA, OmpK36, OmpK37, ompR, OqxA, OqxB19, parC, PatA, RamA, rcsA, rcsB, rnfC, RosA, RosB, rpoS, Rpsl, sciN-tssJ, sfaG, SHV-28, tesA, tssF, ugd, UhpT, vasE-tssK, vgrG-tssI, vipA-tssB, vipB-tssC, wbbM, wbbN, wbbO, wza, wzi, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybdA
S37	Klebsiella pneumoniae	3GC-susceptible	AcrA, AcrB, AcrD, AcrR, argR, ArnT, BaeR, BaeS, bamB, clpV-tssH, cpsACP, CpxA, CRP, cusR, cycA, dotU-tssL, EmrD, EmrR, entA, entB, entC, entD, entE, entF, eptB, feoB, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, FosA, galF, GlpT, gnd, H-NS, hcp-tssD, icmF-tssM, impA-tssA, IroE, KdeA, KpnE, KpnF, KpnG, KpnH, leuO, LptD, manB, manC, MarA, MdtB, MdtC, mrkA, mrkB, mrkC, mrkD, mrkF, mrkH, mrkI, mrkJ, MsbA, mtfA, multidrug_efflux_SMR_transporter, OmpA, OmpK36, OmpK37, ompR, OqxA8, OqxB19, parC, PatA, RamA, rcsA, rcsB, rnfC, RosA, RosB, rpoS, Rpsl, sciN-tssJ, sfaG, SHV-60, SilA, SilB, SilC, tesA, tssF, ugd, UhpT, vasE-tssK, vipA-tssB, vipB-tssC, wza, wzi, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybdA
S38	Klebsiella pneumoniae	3GC-susceptible	AcrA, AcrB, AcrD, AcrR, argR, ArnT, BaeR, BaeS, bamB, clpV-tssH, cpsACP, CpxA, CRP, cusR, cycA, dotU-tssL, EmrD, EmrR, entA, entB, entC, entD, entE, entF, eptB, feoB, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, FosA, fyuA, galF, GlpT, gnd, H-NS, hcp-tssD, icmF-tssM, impA-tssA, IroE, irp1, irp2, KdeA, KpnE, KpnF, KpnG, KpnH, leuO, LptD, manB, manC, MarA, MdtB, MdtC, mrkA, mrkB, mrkC, mrkD, mrkF, mrkH, mrkI, mrkJ, mtfA, OmpA, OmpK36, OmpK37, ompR, OqxA, OqxB25, parC, PatA, RamA, rcsA, rcsB, rnfC, RosA, RosB, rpoS, Rpsl, sciN-tssJ, sfaG, SHV-11, tesA, tssF, ugd, UhpT, vasE-tssK, vgrG-tssI, vipA-tssB, vipB-tssC, wza, wzi, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybdA, ybtA, ybtE, YbtQ, ybtS, ybtT
S39	Klebsiella pneumoniae	3GC-susceptible	AcrA, AcrB, AcrD, AcrR, argR, ArnT, BaeR, BaeS, bamB, cpsACP, CpxA, CRP, cusR, cycA, EmrD, EmrR, entA, entB, entC, entD, entE, entF, eptB, feoB, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, FosA, fyuA, galF, glf, GlpT, gnd, H-NS, IroE, irp1, irp2, KdeA, kfoC, KpnE, KpnF, KpnG, KpnH, leuO, LptD, manB, manC, MarA, MdtB, MdtC, mrkA, mrkB, mrkC, mrkD, mrkF, mrkH, mrkI, mrkJ, MsbA, mtfA, OmpA, OmpK36, OmpK37, ompR, OqxA, OqxB32, parC, PatA, ptxD, RamA, rcsA, rcsB, rnfC, RosA, RosB, rpoS, Rpsl, sfaG, SHV-187, SilA, SilB, SilC, tesA, ugd, UhpT, wbbM, wbbN, wbbO, wza, wzi, wzm, wzt, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybdA, ybtA, ybtE, YbtQ, ybtS, ybtT
S40	Klebsiella pneumoniae	CP CRE	AAC(3)-II, AAC(6')-30_AAC(6')-Ib'fusionprotein, AAC(6')-IIc, AcrA, AcrB, AcrD, AcrR, ANT(3'')-IIa, APH(3'')-Ib, APH(6)-Id, argR, ArnT, Arr, BaeR, BaeS, bamB, BasS, ClbA, ClbB, ClbC, clbD, clbE, clbF, clbG, clbH, clbI, clbJ, clbL, clbM, clbN, clbO, clbP, clbQ, clbS, clpV-tssH, cpsACP, CpxA, CRP, CTX-M-15, cusR, cycA, DfrA14, dotU-tssL, EmrD, EmrR, entA, entB, entC, entE, entF, eptB, EreA2, ErmB, feoB, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, FloR, FosA, fyuA, galF, glf, GlpT, gnd, gyrA, H-NS, hcp-tssD, hlyB, icmF-tssM, impA-tssA, IroE, irp2, KdeA, kfoC, KPC-3, KPHS_23120, KpnE, KpnF, KpnG, KpnH, leuO, LptD, MarA, MdtB, MdtC, mrkA, mrkB, mrkC, mrkD, mrkF, mrkH, mrkI, mrkJ, MsbA, mtfA, OmpA, OmpK36, OmpK37, ompR, OqxA, OqxB, OXA-9, parC, PatA, PmrE, QnrB4, RamA, rcsA, rcsB, rnfC, RosA, RosB, rpoS, Rpsl, sciN-tssJ, sfaG, SHV-12, srpC, Sul1, Sul2, TEM-1, tesA, Tet(D), tle1, tli1, tssF, UhpT, vasE-tssK, Vga(C), vgrG-tssI, vipA-tssB, vipB-tssC, wbbM, wbbN, wbbO, wza, wzi, wzm, wzt, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybdA, ybtA, ybtE, YbtQ, ybtS, ybtT, ybtU
S41	Klebsiella pneumoniae	CP CRE	AAC(3)-IIa, AAC(6')-30_AAC(6')-Ib'fusionprotein, AAC(6')-Ib-cr, aadA2, AcrA, AcrB, AcrD, AcrR, ANT(3'')-IIa, APH(3'')-Ib, APH(3')-Ia, APH(6)-Id, argR, ArnT, BaeR, BaeS, bamB, BasS, CatB3, clpV-tssH, CmlA5, cpsACP, CpxA, CRP, CTX-M-15, cusR, cycA, DfrA30, dotU-tssL, EmrD, EmrR, entA, entB, entC, entE, entF, eptB, EstX-Sat1, feoB, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimK, fliY, FosA, galF, glf, GlpT, gnd, gyrA, gyrB, H-NS, hcp-tssD, hlyB, icmF-tssM, impA-tssA, IroE, KdeA, kfoC, KPC-2, KPHS_23120, KpnE, KpnF, KpnG, KpnH, LEN-6, leuO, LptD, MarA, MdtB, MdtC, mrkA, mrkB, mrkC, mrkD, mrkF, mrkH, mrkI, mrkJ, MsbA, mtfA, OmpA, OmpK36, OmpK37, ompR, OqxA, OqxB, OXA-1, parC, PatA, PmrE, ptxD, QacE, QacL, QnrB1, RamA, rcsA, rcsB, rnfC, RosA, RosB, rpoS, Rpsl, sciN-tssJ, sfaG, SHV-30, SilA, SilB, SilC, Sul2, tesA, Tet(B), Tet(D), tetC, tle1, tli1, TmrB, tssF, UhpT, vasE-tssK, Vga(C), vgrG-tssI, vipA-tssB, vipB-tssC, virB, wbbM, wbbN, wbbO, wza, wzi, wzm, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybdA
